09:38:30:  Project
09:39:20:  D:\CRS\KE18-BOOT\Project\ke18_boot.uvprojx - μVision
09:39:30:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:39:45:  CRS调测工具（研发版）V1.0.2.1
09:39:50:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:40:05:  打开
09:40:10:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:41:40:  CRS调测工具（研发版）V1.0.2.1
09:41:50:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:42:00:  CRS调测工具（研发版）V1.0.2.1
09:42:05:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:42:25:  CRSTestTool
09:42:30:  CRS调测工具（研发版）V1.0.2.1
09:42:35:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:42:40:  打开
09:42:45:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:43:25:  D:\CRS\666\Applications\Update\Update.c (666) - Sublime Text (UNREGISTERED)
09:43:55:  D:\CRS\666\Drivers\FlashDriver\SnbcFlashDriver.c (666) - Sublime Text (UNREGISTERED)
09:44:30:  D:\CRS\666\Drivers\Ke18Bsp\fsl_flash.h (666) - Sublime Text (UNREGISTERED)
09:44:35:  D:\CRS\666\Drivers\FlashDriver\SnbcFlashDriver.c (666) - Sublime Text (UNREGISTERED)
09:44:40:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:44:30:  D:\CRS\666\Drivers\Ke18Bsp\fsl_flash.h (666) - Sublime Text (UNREGISTERED)
09:44:35:  D:\CRS\666\Drivers\FlashDriver\SnbcFlashDriver.c (666) - Sublime Text (UNREGISTERED)
09:44:40:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:45:40:  CRS调测工具（研发版）V1.0.2.1
09:45:45:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:45:50:  CRS调测工具（研发版）V1.0.2.1
09:45:55:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:46:00:  CRS调测工具（研发版）V1.0.2.1
09:46:40:  深圳出差
09:46:45:  TCR调测工具（研发版）V1.0.0.4
09:46:50:  发送指令到K18
09:47:10:  TCR调测工具（研发版）V1.0.0.4
09:47:20:  发送指令到K18
09:47:25:  TCR调测工具（研发版）V1.0.0.4
09:47:40:  发送指令到K18
09:47:50:  TCR调测工具（研发版）V1.0.0.4
09:47:55:  发送指令到K18
09:48:00:  TCR调测工具（研发版）V1.0.0.4
09:48:10:  发送指令到K18
09:48:15:  TCR调测工具（研发版）V1.0.0.4
09:48:25:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:48:55:  TCR调测工具（研发版）V1.0.0.4
09:49:00:  发送指令到K18
09:49:05:  TCR调测工具（研发版）V1.0.0.4
09:49:10:  Decode
09:49:15:  BTCRTestTool.exe 属性
09:49:20:  深圳出差
09:49:25:  20201127
09:49:30:  Decode
09:49:35:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
09:53:25:  Decode
09:53:30:  CS_0000_20201109112836.log - [No filter file]* - TextAnalysisTool.NET
09:53:35:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
09:54:10:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:57:00:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
09:57:11:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
09:58:16:  Decode
09:58:21:  发送指令到K18
09:58:26:  20201127
09:58:31:  Decode
09:58:36:  CS_0000_20201127094644.log - [No filter file]* - TextAnalysisTool.NET
