08:12:03:  风险提示：招标用DRB钞箱提供存在延期风险
10:32:55:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
10:33:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:34:00:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091030.log
10:34:05:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:34:10:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091030.log
10:34:30:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:35:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091030.log
10:35:25:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:35:30:  KE06LOG.bat - 快捷方式 (2)
10:35:40:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:35:55:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091035.log
10:36:20:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:37:55:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:51:20:  锁屏状态
10:51:25:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
10:51:50:  D:\00-06\DRB--\Middlewares\Sensor\Sensor.c (DRB--) - Sublime Text (UNREGISTERED)
10:51:55:  D:\00-06\DRB--\Drivers\SensorDriver\SensorDriver.h (DRB--) - Sublime Text (UNREGISTERED)
10:52:15:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
10:52:30:  D:\00-06\DRB--\Middlewares\Bldc\Bldc.c (DRB--) - Sublime Text (UNREGISTERED)
10:52:50:  D:\00-06\DRB--\Drivers\BldcDriver\BldcDriver.c (DRB--) - Sublime Text (UNREGISTERED)
10:53:10:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:53:25:  D:\00-06\DRB--\Drivers\BldcDriver\BldcDriver.c (DRB--) - Sublime Text (UNREGISTERED)
10:53:30:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:53:55:  D:\00-06\DRB--\Drivers\BldcDriver\BldcDriver.c (DRB--) - Sublime Text (UNREGISTERED)
10:54:00:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:54:05:  D:\00-06\DRB--\Drivers\BldcDriver\BldcDriver.c (DRB--) - Sublime Text (UNREGISTERED)
10:54:35:  D:\00-06\DRB--\Drivers\BldcDriver\BldcDriver.h (DRB--) - Sublime Text (UNREGISTERED)
10:55:05:  桌面整理
10:55:20:  DRB传感器.txt - 记事本
10:55:25:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:55:30:  内容准备进度
10:55:35:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
11:06:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:07:00:  JLink - Cortex-M Error
11:07:05:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:07:30:  荆文波
11:07:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:08:45:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091035.log
11:09:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:10:15:  Toolbox
11:10:25:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:10:30:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091035.log
11:10:40:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091110.log
11:10:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:11:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091110.log
11:11:10:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:12:10:  KE06LOG.bat - 快捷方式 (2)
11:12:15:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:12:40:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:13:00:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:13:15:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
11:13:20:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:13:25:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
11:13:50:  锁屏状态
11:13:55:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
11:14:30:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:14:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:15:00:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
11:14:30:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010091112.log
11:14:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
11:15:00:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
