08:00:54:  自动播放
09:55:09:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:56:19:  VSCode
09:56:54:  插件
09:57:04:  正在打开 - Word
09:57:09:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:57:54:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:57:59:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:58:04:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
09:58:29:  扩展: SonarLint For PClint - trunk - Visual Studio Code [管理员]
09:58:34:  设置 - trunk - Visual Studio Code [管理员]
09:58:49:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:59:14:  设置 - trunk - Visual Studio Code [管理员]
09:59:24:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:59:29:  设置 - trunk - Visual Studio Code [管理员]
09:59:34:  ● settings.json - trunk - Visual Studio Code [管理员]
09:59:39:  锁屏状态
09:59:44:  新标签页 - Google Chrome
09:59:49:  SonarQube - Google Chrome
09:59:59:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:00:04:  项目 - Google Chrome
09:58:29:  扩展: SonarLint For PClint - trunk - Visual Studio Code [管理员]
09:58:34:  设置 - trunk - Visual Studio Code [管理员]
09:58:49:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:59:14:  设置 - trunk - Visual Studio Code [管理员]
09:59:24:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
09:59:29:  设置 - trunk - Visual Studio Code [管理员]
09:59:34:  ● settings.json - trunk - Visual Studio Code [管理员]
09:59:39:  锁屏状态
09:59:44:  新标签页 - Google Chrome
09:59:49:  SonarQube - Google Chrome
09:59:59:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:00:04:  项目 - Google Chrome
10:00:24:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:00:29:  项目 - Google Chrome
10:00:39:  安全 - 我的账号 - Google Chrome
10:00:49:  settings.json - trunk - Visual Studio Code [管理员]
10:00:54:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:01:04:  settings.json - trunk - Visual Studio Code [管理员]
10:01:09:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:01:24:  settings.json - trunk - Visual Studio Code [管理员]
10:01:54:  设置 - trunk - Visual Studio Code [管理员]
10:02:34:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:02:49:  设置 - trunk - Visual Studio Code [管理员]
10:02:54:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:03:09:  设置 - trunk - Visual Studio Code [管理员]
10:03:19:  Windows 资源管理器
10:03:24:  计算机
10:03:54:  jre1.8.0_201
10:04:04:  设置 - trunk - Visual Studio Code [管理员]
10:04:14:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:04:19:  网易有道词典
10:04:29:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:04:49:  设置 - trunk - Visual Studio Code [管理员]
10:04:54:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:05:44:  设置 - trunk - Visual Studio Code [管理员]
10:05:49:  ● settings.json - trunk - Visual Studio Code [管理员]
10:05:54:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:05:59:  settings.json - trunk - Visual Studio Code [管理员]
10:06:09:  安全 - 我的账号 - Google Chrome
10:06:14:  项目 - Google Chrome
10:06:19:  settings.json - trunk - Visual Studio Code [管理员]
10:06:24:  打开文件夹
10:06:34:  Visual Studio Code
10:06:44:  SystemConfig.h - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:06:49:  扩展: SonarLint For PClint - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:06:54:  设置 - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:06:59:  ● settings.json - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:07:04:  FW_BTCR-1100_K06_MAIN%trunk - Google Chrome
10:07:19:  ● settings.json - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:07:34:  打开文件夹
10:07:39:  settings.json - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:07:44:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:08:44:  settings.json - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:08:49:  ● settings.json - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:08:54:  新建文本文档.exe - 快捷方式
10:08:59:  SonarLint
10:09:04:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
10:09:09:  ErrCode.h - BR-1-CashBox1T2 - Visual Studio Code [管理员]
10:09:14:  Sonarlint For PClint使用说明V1.1.docx (受保护的视图) - Word
