14:09:41:  192.168.28.2
14:09:46:  01-软件
14:09:51:  压缩文件名和参数
14:09:56:  正在创建压缩文件 iTunes64Setup279734.rar
14:10:16:  01-软件
14:10:26:  网易有道词典
14:10:36:  01-软件
14:11:06:  资料共享
14:11:11:  正在复制 1 个项目(256 MB)
14:11:16:  刘锐
14:11:21:  资料共享
14:11:26:  刘锐
14:11:56:  网易有道词典
14:12:11:  刘锐
14:12:16:  网易有道词典
14:12:36:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:12:41:  网易有道词典
14:13:06:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:17:56:  C:\Users\zhangkaifa\Desktop\BNE-R1200M_出入钞口方案20200511.exb - CAXA电子图板2005(企业版)
14:24:26:  于斌1
14:24:51:  C:\Users\zhangkaifa\Desktop\BNE-R1200M_出入钞口方案20200511.exb - CAXA电子图板2005(企业版)
14:26:31:  eSpace
14:26:41:  C:\Users\zhangkaifa\Desktop\BNE-R1200M_出入钞口方案20200511.exb - CAXA电子图板2005(企业版)
14:27:41:  「开始」菜单
14:27:56:  C:\Users\zhangkaifa\Desktop\BNE-R1200M_出入钞口方案20200511.exb - CAXA电子图板2005(企业版)
14:28:06:  Creo Parametric 2.0
14:28:11:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:30:01:  eSpace
14:28:06:  Creo Parametric 2.0
14:28:11:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:30:01:  eSpace
14:30:06:  于斌1
14:30:16:  eSpace
14:30:21:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:30:26:  资料共享
14:30:36:  于斌1
14:30:41:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:31:16:  于斌1
14:31:21:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:31:41:  于斌1
14:31:46:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:38:36:   
14:38:41:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:45:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:06:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:16:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:26:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:46:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:45:51:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:46:01:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:46:11:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
14:47:31:  计算器
14:47:46:  Artistic Style - Google Chrome
14:47:51:  新标签页 - Google Chrome
14:47:56:  www.baidu.com - Google Chrome
14:48:01:  BNE-R1200M-01-0000R (活动的) - Creo Parametric 2.0
14:48:06:  许可证退出
14:48:31:  www.baidu.com - Google Chrome
14:48:41:  新建文本文档.exe - 快捷方式
