08:02:34:  Microsoft Excel
10:29:23:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:30:03:  trunk
10:30:08:  D:\00-06\1T1-Stop-Length\trunk\Tools\CreateJK.exe
10:30:13:  5.22 钞箱托板功能测试V1.0 .xls  [兼容模式] - Excel
10:30:18:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:30:28:  0-工作 - 张开发 - 印象笔记
10:30:38:  所有笔记本 - 张开发 - 印象笔记
10:30:48:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:33:23:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Track\Track.c (trunk) - Sublime Text (UNREGISTERED)
10:33:28:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:34:23:  K64_0000_20210305183025.log - DRB.tat* - TextAnalysisTool.NET
10:34:48:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:35:03:  Excel
10:35:08:  20210305-新冠疫苗摸底登记表.xlsx  [受保护的视图] - Excel
10:35:23:  5.22 钞箱托板功能测试V1.0 .xls  [兼容模式] - Excel
10:36:33:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:42:03:  「开始」菜单
10:42:08:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:44:49:  eSpace
10:44:59:  程明昌
10:44:49:  eSpace
10:44:59:  程明昌
10:45:14:  于斌1
10:45:29:  eSpace
10:45:34:  于斌1
10:45:39:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:45:44:  程明昌
10:46:04:  eSpace
10:46:09:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:46:54:  程明昌
10:46:59:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:47:34:  于斌1
10:47:44:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:47:49:  于斌1
10:48:09:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:49:24:  于斌1
10:50:34:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:52:29:  eSpace
10:52:34:  于斌1
10:52:49:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:52:54:  eSpace
10:52:59:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:53:29:  新北洋OA信息化平台 - Internet Explorer
10:53:39:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:54:39:  库
10:54:44:  本地磁盘 (E:)
10:54:49:  CheckTheBookTital.py - E:\CheckTheBookTital.py (3.7.3)
10:55:04:  0-工作 - 张开发 - 印象笔记
10:55:09:  印象笔记
10:55:14:  3-日常 - 张开发 - 印象笔记
10:55:19:  0-工作 - 张开发 - 印象笔记
10:55:24:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:57:44:  CheckTheBookTital.py - E:\CheckTheBookTital.py (3.7.3)
10:57:49:  *CheckTheBookTital.py - E:\CheckTheBookTital.py (3.7.3)*
10:57:54:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
10:57:59:  Visual Studio Code
10:58:09:  欢迎使用 - 20210303 - Visual Studio Code [管理员]
10:58:19:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:58:29:  打开文件
10:58:34:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:58:39:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
10:59:09:  扩展: Python - trunk - Visual Studio Code [管理员]
10:59:19:  安装
10:59:24:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
10:58:09:  欢迎使用 - 20210303 - Visual Studio Code [管理员]
10:58:19:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:58:29:  打开文件
10:58:34:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:58:39:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
10:59:09:  扩展: Python - trunk - Visual Studio Code [管理员]
10:59:19:  安装
10:59:24:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:00:14:  CheckTheBookTital.py - trunk - Visual Studio Code
11:00:19:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:00:29:  Python - 开始 - trunk - Visual Studio Code [管理员]
11:00:34:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:00:44:  键盘快捷方式 - trunk - Visual Studio Code [管理员]
11:00:49:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:02:44:  新建文本文档.exe - 快捷方式
11:02:59:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
11:03:09:  「开始」菜单
11:03:14:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:03:19:  发行说明: 1.54.1 - trunk - Visual Studio Code [管理员]
11:03:24:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:03:59:  PaperManage.c - trunk - Visual Studio Code [管理员]
11:04:09:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:04:44:  新标签页 - Google Chrome
11:04:49:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
11:04:54:  新标签页 - Google Chrome
11:05:19:  www.23txt.com - Google Chrome
11:05:54:  所有笔记本 - 张开发 - 印象笔记
11:05:59:  0-工作 - 张开发 - 印象笔记
