09:59:14:  Box_2__BTCR-1100190802300005_20200713092304.log - DRB.tat* - TextAnalysisTool.NET
09:59:24:  K64_BTCR-1100190802300005_20200713092407
09:59:29:  Box_2__BTCR-1100190802300005_20200713092407.log - DRB.tat* - TextAnalysisTool.NET
09:58:49:  fenxi
09:58:59:  上腔5元大额存款79张报 通道传输过程中卡钞 超过最大长度持续有钞  返回码0X824602B6
09:59:09:  Decode
09:59:14:  Box_2__BTCR-1100190802300005_20200713092304.log - DRB.tat* - TextAnalysisTool.NET
09:59:24:  K64_BTCR-1100190802300005_20200713092407
09:59:29:  Box_2__BTCR-1100190802300005_20200713092407.log - DRB.tat* - TextAnalysisTool.NET
10:03:29:  IMG_20200713_092442.jpg - Windows 照片查看器
10:03:34:  IMG_20200713_092537.jpg - Windows 照片查看器
10:03:39:  IMG_20200713_092442.jpg - Windows 照片查看器
10:05:29:  Box_2__BTCR-1100190802300005_20200713092407.log - DRB.tat* - TextAnalysisTool.NET
10:06:09:  上腔5元大额存款159张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X824602B6
10:06:14:  IMG_20200713_091852.jpg - Windows 照片查看器
10:06:24:  捕获.PNG - Windows 照片查看器
10:06:29:  上腔5元大额存款159张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X824602B6
10:06:34:  5.6 步进电机测试.pptx [受保护的视图] - PowerPoint
10:14:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:14:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:20:49:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:22:04:  EXTFEDU6V12.PDF - Adobe Reader
10:25:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:36:34:  JL2CM3
10:36:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:36:44:  JL2CM3
10:36:54:  μVision
10:36:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:41:34:  DRB钞箱工程样机系统测试问题列表.xlsx
10:41:44:  DRB钞箱工程样机系统测试问题列表.xlsx  [只读] - Excel
10:47:19:  5.18 传感器测试v1.1.xlsx - Excel
10:47:34:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:49:29:  EXTFEDU6V12.PDF - Adobe Reader
10:49:34:  阅读未加标签文档
10:49:39:  EXTFEDU6V12.PDF - Adobe Reader
10:50:24:  5.6 步进电机测试.pptx [受保护的视图] - PowerPoint
10:52:09:  03 项目周报
10:52:14:  06 固件日报
10:52:19:  钞箱1T2集成测试方案
10:52:24:  桌面整理
10:52:29:  5.6 步进电机测试.pptx - PowerPoint
10:56:19:  固件一室
10:57:19:  5.6 步进电机测试.pptx - PowerPoint
10:59:19:  D:\00-06\DRB-PRESS\Middlewares\Sensor\Sensor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:24:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:29:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:44:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:00:04:  5.6 步进电机测试.pptx - PowerPoint
10:59:19:  D:\00-06\DRB-PRESS\Middlewares\Sensor\Sensor.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:24:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:29:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:59:44:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:00:04:  5.6 步进电机测试.pptx - PowerPoint
11:03:34:  自动播放
11:03:44:  5.6 步进电机测试.pptx - PowerPoint
11:06:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:06:19:  JL2CM3
11:06:24:  μVision
11:06:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:10:34:  于转龙 (G:)
11:10:39:  桌面整理
11:10:44:  文件正在使用
11:10:49:  没有找到项目
11:10:54:  新建文件夹 (2)
11:10:59:  本地磁盘 (E:)
11:13:09:  本地磁盘 (D:)
11:13:14:  Project
11:13:19:  μVision
11:13:39:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
11:17:33:  trunk
11:17:38:  D:\00-KE64\trunk\Tools\CreateJK.exe
11:17:43:  TCR调测工具 V3.36
11:17:48:  打开
11:18:03:  BTCRTestTool
11:20:38:  TCR调测工具 V3.36
11:20:58:  BTCRTestTool
11:21:03:  TCR调测工具 V3.36
11:21:18:  荆文波
11:22:38:  自动播放
11:22:43:  荆文波
11:22:48:  自动播放
11:23:28:  荆文波
11:24:38:  TCR调测工具 V3.36
11:26:23:  取款
11:26:33:  TCR调测工具 V3.36
11:26:38:  取款
11:26:43:  TCR调测工具 V3.36
11:28:28:  取款
11:28:33:  TCR调测工具 V3.36
11:28:43:  取款
11:28:48:  TCR调测工具 V3.36
11:29:53:  BTCRTestTool V3.36
11:29:58:  TCRControlCmdDLL
11:30:03:  20200713
11:28:28:  取款
11:28:33:  TCR调测工具 V3.36
11:28:43:  取款
11:28:48:  TCR调测工具 V3.36
11:29:53:  BTCRTestTool V3.36
11:29:58:  TCRControlCmdDLL
11:30:03:  20200713
11:30:08:  20200713 (未响应)
11:30:28:  20200713
11:30:33:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
11:30:38:  Decode
11:30:48:  打开
11:30:58:  TCR调测工具 V3.36
11:32:23:  取款
11:32:28:  自动播放
11:33:08:  Decode
11:33:13:  20200713
11:33:23:  K64_0000_20200713113226
11:33:28:  Box_1__0000_20200713113226.log - DRB.tat* - TextAnalysisTool.NET
11:35:08:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:13:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:18:  D:\00-06\DRB-PRESS\Middlewares\Plate\PressurePlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:28:  锁屏状态
11:35:33:  D:\00-06\DRB-PRESS\Middlewares\Plate\PressurePlate.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:38:  D:\00-06\DRB-PRESS\Middlewares\Plate\PlateCommon.h (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:43:  D:\00-06\DRB-PRESS\Middlewares\Plate\PressurePlate.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:35:58:  D:\00-06\DRB-PRESS\Middlewares\Plate\PressurePlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:36:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:38:43:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
11:39:13:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
11:39:18:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
11:39:23:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
11:39:28:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
11:39:33:  Tools
11:39:38:  DRB-PRESS
11:39:43:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
11:39:48:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
11:39:53:  00-06
11:39:58:  D:\00-KE64\trunk\Tools\CreateJK.exe
11:40:03:  TCR调测工具 V3.36
11:40:08:  打开
