11:34:45:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
11:34:50:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
11:36:55:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
11:37:00:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
11:38:00:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
11:38:05:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
11:38:10:  This is an unregistered copy
11:38:15:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
11:40:30:  锁屏状态
13:14:02:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
13:23:32:  员工自助 - Internet Explorer
13:23:42:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
13:23:52:  员工自助 - Internet Explorer
13:23:57:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
13:24:02:  员工自助 - Internet Explorer
13:24:07:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
13:24:12:  锁屏状态
13:24:17:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
13:31:48:  王亮杰
13:32:58:  06- 刘建生
13:33:08:  01 结构
13:33:18:  20180613 TCR内部指令手册_V001.xlsx - Excel
13:33:28:  王亮杰
13:33:53:  doublecash布局讨论1806.xlsx  [受保护的视图] - Excel
13:34:28:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
13:39:33:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
13:39:38:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
13:40:38:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
13:40:48:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:00:23:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:00:33:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
14:00:58:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:01:33:  D:\00-06\meger\Applications\PaperManage\PaperManage.h (meger) - Sublime Text (UNREGISTERED)
14:01:38:  D:\00-06\meger\Applications\PaperManage\PaperManage.h • (meger) - Sublime Text (UNREGISTERED)
14:02:03:  D:\00-06\meger\Applications\PaperManage\PaperManage.h (meger) - Sublime Text (UNREGISTERED)
14:02:08:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:02:28:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:02:58:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:03:03:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:03:08:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:03:18:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:03:33:  D:\00-06\meger\Applications\PaperManage\PaperManage.h (meger) - Sublime Text (UNREGISTERED)
14:03:53:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:03:58:  D:\00-06\meger\Applications\PaperManage\PaperManage.h (meger) - Sublime Text (UNREGISTERED)
14:04:28:  D:\00-06\meger\Applications\PaperManage\PaperManage.h • (meger) - Sublime Text (UNREGISTERED)
14:04:33:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:04:48:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:04:53:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:05:03:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:05:08:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:07:53:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:11:03:  王亮杰
14:11:13:  锁屏状态
14:11:18:  王亮杰
14:11:28:  01 结构
14:11:33:  Excel
14:11:43:  01 结构
14:11:48:  请指定形文件txt.shx的位置(取消将使用设置的缺省字体):
14:11:53:  日积月累
14:11:58:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\13 DRB开发文档\01 结构\一体两箱布局.exb - CAXA电子图板2005(企业版)
14:12:18:  王亮杰
14:13:48:  13 DRB开发文档
14:15:58:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
14:16:48:  自动播放
14:16:53:  Microsoft Office Sync Process
14:17:03:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
14:17:13:  新标签页 - Google Chrome
14:17:18:  eSpace
14:17:28:  锁屏状态
14:17:38:  王亮杰
14:18:33:  2-财务分配 - 张开发 - 印象笔记
14:18:38:  0-工作 - 张开发 - 印象笔记
14:18:43:  王亮杰
14:18:48:  另存为
14:18:53:  印象笔记
14:18:58:  无标题笔记 - 印象笔记
14:19:03:  打开
14:19:13:  E33AE79D-0508-4202-9591-5568F6AB1BA1.png - 印象笔记
14:19:33:  0-工作 - 张开发 - 印象笔记
14:19:43:  Windows 安全
14:19:48:  http://www.byintra.com/intradoc/DocLib6/《新北洋人》第94期20210128.pdf - Internet Explorer
14:21:14:  《新北洋人》第94期发布！
14:21:19:  王亮杰
14:21:44:  打开文件夹
14:21:49:  DRB传感器.txt - 记事本
14:22:49:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
14:24:14:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:34:44:  D:\00-06\meger\FwLib\StdSnbc\StdMacro.h (meger) - Sublime Text (UNREGISTERED)
14:35:09:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:36:09:  王亮杰
14:36:39:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:36:54:  D:\00-06\meger\FwLib\StdSnbc\StdMacro.h (meger) - Sublime Text (UNREGISTERED)
14:36:59:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:37:19:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
14:37:24:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:44:59:  主页 - Internet Explorer
14:45:04:  新北洋OA信息化平台 - Internet Explorer
14:44:59:  主页 - Internet Explorer
14:45:04:  新北洋OA信息化平台 - Internet Explorer
14:45:24:  D:\00-06\meger\Applications\PaperManage\PaperManage.c • (meger) - Sublime Text (UNREGISTERED)
14:51:04:  「开始」菜单
14:51:09:  计算器
14:55:20:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:55:30:  插入函数
14:55:50:  函数参数
14:55:55:  插入函数
14:56:20:  新标签页 - Google Chrome
14:56:25:  新建文本文档.exe - 快捷方式
14:56:30:  新标签页 - Google Chrome
14:56:40:  百度一下，你就知道 - Google Chrome
14:56:45:  arcsin_百度搜索 - Google Chrome
14:56:50:  插入函数
14:57:05:  函数参数
14:57:25:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:58:20:  插入函数
14:58:25:  函数参数
14:58:30:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:59:05:  新建文本文档.exe - 快捷方式
14:59:10:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:58:20:  插入函数
14:58:25:  函数参数
14:58:30:  20180613 TCR内部指令手册_V001.xlsx - Excel
14:59:05:  新建文本文档.exe - 快捷方式
14:59:10:  20180613 TCR内部指令手册_V001.xlsx - Excel
