09:14:43:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:15:53:  BTCRTestTool
09:15:58:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:16:08:  TCR调测工具（研发版）V1.0.0.4
09:16:13:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:16:53:  BTCRTestTool
09:16:58:  TCR调测工具（研发版）V1.0.0.4
09:17:03:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:17:28:  计算器
09:18:23:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:18:48:  BTCRTestTool
09:18:58:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:19:08:  打开
09:19:13:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:19:23:  TCR调测工具（研发版）V1.0.0.4
09:19:33:  BTCRTestTool
09:19:48:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:22:08:  BTCRTestTool
09:22:13:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:22:18:  TCR调测工具（研发版）V1.0.0.4
09:22:23:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:22:43:  Bus Hound
09:22:53:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:24:43:  BTCRTestTool
09:24:48:  TCR调测工具（研发版）V1.0.0.4
09:24:53:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:25:08:  Bus Hound
09:25:13:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
09:25:18:  D:\00-KE64\CRS-64\Applications\InstrExplain\InstrProc1D.c (CRS-64) - Sublime Text (UNREGISTERED)
09:25:23:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
09:25:33:  Bus Hound
09:25:48:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:26:48:  确认另存为
09:26:53:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:27:18:  JLink - Cortex-M Error
09:27:23:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:28:13:  BTCRTestTool
09:28:18:  TCR调测工具（研发版）V1.0.0.4
09:28:23:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:29:13:  Bus Hound
09:29:43:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:29:53:  TCR调测工具（研发版）V1.0.0.4
09:30:03:  打开
09:28:13:  BTCRTestTool
09:28:18:  TCR调测工具（研发版）V1.0.0.4
09:28:23:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:29:13:  Bus Hound
09:29:43:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:29:53:  TCR调测工具（研发版）V1.0.0.4
09:30:03:  打开
09:30:08:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:31:13:  计算器
09:31:38:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:32:33:  Bus Hound
09:32:48:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:32:58:  BTCRTestTool
09:33:03:  TCR调测工具（研发版）V1.0.0.4
09:33:08:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:33:33:  Bus Hound
09:33:43:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:33:48:  Bus Hound
09:34:28:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:35:08:  BTCRTestTool
09:35:13:  TCR调测工具（研发版）V1.0.0.4
09:35:18:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:36:13:  TCR调测工具（研发版）V1.0.0.4
09:36:28:  BTCRTestTool
09:44:18:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:44:23:  D:\00-06\DRB-MOSTNEW\FwLib\Config\DebugConfig.h (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:33:  D:\00-06\DRB-MOSTNEW\Applications\MotorCtrl\MotorCtrl.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:43:  D:\00-06\DRB-MOSTNEW\Applications\LogHandle\LogHandle.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:48:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:18:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:44:23:  D:\00-06\DRB-MOSTNEW\FwLib\Config\DebugConfig.h (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:33:  D:\00-06\DRB-MOSTNEW\Applications\MotorCtrl\MotorCtrl.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:43:  D:\00-06\DRB-MOSTNEW\Applications\LogHandle\LogHandle.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:44:48:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
09:45:38:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:46:28:  D:\00-06\DRB-MOSTNEW\Tools\CreateJK.exe
09:46:33:  Tools
09:46:38:  BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_MAIN_T99 - 写邮件
09:49:03:  DRB-MOSTNEW
09:49:08:  D:\00-06\DRB-MOSTNEW - 工作副本 - TortoiseSVN
09:49:13:  Application.c - TortoiseMerge
09:49:18:  DRB-MOSTNEW
09:49:23:  DRB--
09:49:28:  PaperManage.c - TortoiseMerge
09:49:33:  DRB--
09:49:43:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:50:38:  D:\00-06\DRB--\Tools\CreateJK.exe
09:50:48:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:52:08:  锁屏状态
09:52:13:  μVision
09:52:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:52:28:  Tools
09:52:33:  BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_MAIN_T99 - 写邮件
10:30:49:  Tools
10:30:54:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
10:30:59:  D:\00-06\1T1-Stop-Length\trunk - 更新 - TortoiseSVN
10:31:04:  更新 完成！
10:31:14:  于斌1
10:31:34:  trunk
10:31:39:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
10:31:44:  milestone.txt - 记事本
10:31:59:  于斌1
10:32:04:  trunk
10:32:09:  fenxi
10:32:19:  于斌1
10:32:29:  DRB
10:32:34:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:32:54:  TCR调测工具（研发版）V1.0.0.4
10:32:59:  BTCRTestTool
10:33:04:  TCR调测工具（研发版）V1.0.0.4
10:33:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:33:19:  Bus Hound
10:33:24:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:33:44:  于斌1
10:33:54:  锁屏状态
10:33:59:  打开
10:34:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:34:54:  Toolbox
10:34:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:35:04:  BTCRTestTool
10:35:09:  TCR调测工具（研发版）V1.0.0.4
10:35:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
10:35:34:  Bus Hound
10:35:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
