09:05:55:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:06:15:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:06:20:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:06:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:06:35:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:07:25:  锁屏状态
09:07:30:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:09:00:  Add Filter
09:09:10:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:10:35:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:10:40:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:11:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (trunk) - Sublime Text (UNREGISTERED)
09:11:45:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:12:40:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (trunk) - Sublime Text (UNREGISTERED)
09:12:55:  Edit Filter
09:13:00:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:13:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (trunk) - Sublime Text (UNREGISTERED)
09:13:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:15:00:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:15:00:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:15:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:16:25:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:16:50:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:16:55:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:17:55:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:18:05:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:22:05:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:22:15:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:23:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrExecute.c (trunk) - Sublime Text (UNREGISTERED)
09:23:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:24:10:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:24:55:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:28:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:28:55:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:28:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:28:55:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:30:15:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:30:20:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:30:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:30:35:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:31:00:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:31:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
09:31:40:  Decode
09:31:50:  K64_BTCR-1100200700510494_20201016133311 - 写邮件
09:31:55:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat* - TextAnalysisTool.NET
09:32:00:  K64_BTCR-1100200700510494_20201016133311 - 写邮件
09:32:05:  发送邮件
09:32:10:  未命名 - 写邮件
09:32:15:  Decode
09:32:20:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:32:35:  自动播放
09:33:25:  TCRControlCmdDLL
09:33:30:  08tcr测试过程记录
09:33:35:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:33:40:  BTCR-1100-EEPROM更改记录_V100.xls  [受保护的视图] - Excel
09:34:00:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
09:34:45:  最新固件
09:34:50:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\TCR\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
09:34:55:  K06
09:35:00:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
09:35:40:  K06
09:35:55:  最新固件
09:36:00:  K64
09:36:05:  K06
09:37:15:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
09:38:45:  K06
09:39:00:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\TCR\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V101_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
09:39:05:  K06
09:39:15:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\TCR\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V101_CASHBOX1T1_AB-弹性摆块.EEP (trunk) - Sublime Text (UNREGISTERED)
09:39:20:  K06
09:39:25:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\TCR\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V101_CASHBOX1T1_AB.EEP (trunk) - Sublime Text (UNREGISTERED)
09:39:30:  K06
09:39:40:  最新固件
09:39:45:  TCR
09:39:50:  BTCR-1100-EEPROM更改记录_V100.xls  [受保护的视图] - Excel
09:40:05:  最新固件
09:40:10:  K06
09:40:20:  BTCR-1100-EEPROM更改记录_V100.xls  [受保护的视图] - Excel
09:40:25:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
09:40:40:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:41:10:  Dialog
09:41:15:  eSpace Login
09:41:20:  eSpace
09:41:30:  于斌1
09:42:05:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:42:20:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:43:05:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:43:10:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:45:41:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:45:46:  设置 - DRB-NearFull - Visual Studio Code [管理员]
09:45:51:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:45:56:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:46:06:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:04:52:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:05:02:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:05:12:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:05:17:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:08:02:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:08:07:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:08:12:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:08:22:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:09:07:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:09:12:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:09:22:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:09:27:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:09:57:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:15:27:  Microsoft Excel
10:16:22:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:28:13:  锁屏状态
10:28:18:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:28:23:  新标签页 - Google Chrome
10:28:28:  首页 - 知乎 - Google Chrome
10:28:33:  (99+ 封私信 / 80 条消息) 首页 - 知乎 - Google Chrome
10:28:48:  (99+ 封私信 / 80 条消息) 拼多多坎 - 搜索结果 - 知乎 - Google Chrome
10:28:53:  D:\00-KE64\K64\Project\k64_rtt.uvprojx - μVision
10:28:58:  新建文本文档.exe - 快捷方式
10:29:03:  D:\00-KE64\K64\Project\k64_rtt.uvprojx - μVision
