11:13:01:  荆文波
11:13:11:  K64-_0000_20210113104032.log - DRB.tat* - TextAnalysisTool.NET
11:14:21:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:26:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:31:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:51:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:21:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:26:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxCmd.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:31:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.c (gfgd) - Sublime Text (UNREGISTERED)
11:14:51:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.c (gfgd) - Sublime Text (UNREGISTERED)
11:15:21:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.h (gfgd) - Sublime Text (UNREGISTERED)
11:15:26:  E:\深圳出差\gfgd\Applications\FlowControl\TrackMotor\TrackMotor.c (gfgd) - Sublime Text (UNREGISTERED)
11:15:46:  E:\深圳出差\gfgd\Project\build\release\Aging.lst (gfgd) - Sublime Text (UNREGISTERED)
11:15:51:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:16:01:  E:\深圳出差\gfgd\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (gfgd) - Sublime Text (UNREGISTERED)
11:16:31:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
11:16:36:  K64-_0000_20210113104032.log - DRB.tat* - TextAnalysisTool.NET
11:16:51:  Add Filter
11:17:11:  K64-_0000_20210113104032.log - DRB.tat* - TextAnalysisTool.NET
11:19:26:  0-工作 - 张开发 - 印象笔记
11:21:41:  CRS调测工具（研发版）V1.0.2.1
11:24:51:  钞箱配置
11:25:01:  CRS调测工具（研发版）V1.0.2.1
11:25:31:  20210113
11:25:51:  Decode
11:25:56:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
11:26:01:  K64_0000_20210113112506
