09:15:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:14:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:15:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:15:20:  员工考勤异常信息 -- 网页对话框
09:15:25:  Internet Explorer
09:15:35:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:15:50:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:16:00:  eSpace
09:16:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:17:15:  新建文本文档.exe - 快捷方式
09:17:45:  附件1：2020年技术中心查体名单.xlsx
09:18:10:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:27:15:  TCR调测工具 V3.36
09:27:30:  BTCRTestTool
09:27:35:  TCR调测工具 V3.36
09:27:50:  发送指令到K06
09:28:00:  TCR调测工具 V3.36
09:28:05:  发送指令到K06
09:28:10:  TCR调测工具 V3.36
09:28:15:  ● State.c - DRB-PRESS - Visual Studio Code [管理员]
09:28:20:  计算器
09:28:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:28:05:  发送指令到K06
09:28:10:  TCR调测工具 V3.36
09:28:15:  ● State.c - DRB-PRESS - Visual Studio Code [管理员]
09:28:20:  计算器
09:28:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:31:05:  系统登录 - Internet Explorer
09:31:10:  新北洋OA信息化平台 - Internet Explorer
09:31:15:  员工自助 - Internet Explorer
09:31:25:  请假查询 - Internet Explorer
09:31:45:  “HR自助平台”一期功能介绍.pdf
09:32:00:  http://oa.byintra.com/HRWeb/PStiaozhuan/PStiaozhuan.aspx?type=2&YGID=107240 - Internet Explorer
09:32:05:  职工慰问金申请 - Internet Explorer
09:32:10:  “HR自助平台”一期功能介绍.pdf
09:32:15:  请假查询 - Internet Explorer
09:32:20:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:32:30:  员工自助 - Internet Explorer
09:32:35:  员工请假申请 - Internet Explorer
09:33:00:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:33:10:  Internet Explorer
09:33:20:  Box_1__0000_20200703163131.log - DRB.tat* - TextAnalysisTool.NET
09:33:25:  请假查询 - Internet Explorer
09:34:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:35:10:  桌面整理
09:35:15:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:35:20:  固件集成测试方案
09:35:25:  正在打开 - PowerPoint
09:35:30:  5.12 直流电机测试.pptx [受保护的视图] - PowerPoint
09:36:00:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:36:05:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:36:10:  MotorCtrl.h - DRB-PRESS - Visual Studio Code [管理员]
09:36:15:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:36:50:  Microsoft Visual Studio Team System 2008 Team Suite - CHS
09:36:55:  5.12 直流电机测试.pptx - PowerPoint
09:37:05:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:41:05:  于斌1
09:41:25:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:42:05:  “HR自助平台”一期功能介绍.pdf
09:42:35:  锁屏状态
09:42:40:  Windows 网络诊断
09:42:45:  百度一下，你就知道 - Google Chrome
09:42:55:  支付宝 知托付！ - Google Chrome
09:43:05:  我的支付宝 － 支付宝 - Google Chrome
09:43:10:  我的账单 - 支付宝 - Google Chrome
09:43:55:  “HR自助平台”一期功能介绍.pdf
09:49:25:  alipay_record_20200706_0943.zip - WinRAR (非商业个人版)
09:49:30:  alipay_record_20200706_0943_1.csv - Excel
09:50:35:  alipay_record_20200706_0943.zip - WinRAR (非商业个人版)
09:50:45:  MindMaster Pro
09:51:05:  alipay_record_20200706_0943_1.csv - Excel
09:51:10:  MindMaster Pro
09:51:25:  alipay_record_20200706_0943_1.csv - Excel
09:51:30:  计算器
09:51:40:  MindMaster Pro
09:51:45:  MindMaster 发现新版本。
09:51:50:  MindMaster Pro
09:52:05:  计算器
09:52:10:  MindMaster Pro
09:52:20:  计算器
09:52:30:  MindMaster Pro
09:52:35:  计算器
09:54:45:  alipay_record_20200706_0943_1.csv - Excel
09:55:00:  MindMaster Pro
09:55:10:  计算器
09:55:40:  MindMaster Pro
09:55:55:  计算器
09:56:20:  MindMaster Pro
09:56:25:  计算器
09:56:35:  MindMaster Pro
09:56:50:  请假查询 - Internet Explorer
09:56:55:  考勤异常 - Internet Explorer
09:57:00:  新建文本文档.exe - 快捷方式
09:57:05:  5.12 直流电机测试.pptx - PowerPoint
09:57:10:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:57:20:  主页 - Internet Explorer
09:57:25:  新北洋OA信息化平台 - Internet Explorer
09:57:35:  eSpace
09:58:55:  于斌1
09:59:20:  0_发起流程_补签卡流程 - Internet Explorer
09:59:30:  新北洋OA信息化平台 - Internet Explorer
09:58:55:  于斌1
09:59:20:  0_发起流程_补签卡流程 - Internet Explorer
09:59:30:  新北洋OA信息化平台 - Internet Explorer
10:00:50:  0_发起流程_补签卡流程 - Internet Explorer
10:00:55:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
10:01:00:  锁屏状态
10:01:40:  5.21拨叉功能测试模版_V1.0.xls  [受保护的视图] - Excel
10:02:25:  新标签页 - Google Chrome
10:02:30:  主页 - Internet Explorer
10:02:35:  员工自助 - Internet Explorer
10:02:45:  考勤异常 - Internet Explorer
10:03:00:  5.21拨叉功能测试模版_V1.0.xls  [受保护的视图] - Excel
10:05:50:  主页 - Internet Explorer
10:05:55:  员工自助 - Internet Explorer
10:06:00:  我的薪酬 - Internet Explorer
10:06:05:  5.21拨叉功能测试模版_V1.0.xls  [受保护的视图] - Excel
10:12:10:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
10:13:20:  锁屏状态
10:13:25:  5.12 直流电机测试.pptx - PowerPoint
10:14:20:  附件1：2020年技术中心查体名单.xlsx
10:14:55:  5.12 直流电机测试.pptx - PowerPoint
10:15:00:  附件1：2020年技术中心查体名单.xlsx
10:14:20:  附件1：2020年技术中心查体名单.xlsx
10:14:55:  5.12 直流电机测试.pptx - PowerPoint
10:15:00:  附件1：2020年技术中心查体名单.xlsx
10:20:30:  新标签页 - Google Chrome
10:20:35:  百度一下，你就知道 - Google Chrome
10:20:50:  威海骨科医院_百度搜索 - Google Chrome
10:21:10:  附件1：2020年技术中心查体名单.xlsx
10:21:40:  锁屏状态
10:21:45:  http://hrms.byintra.com:8800/psp/HCMPRD/EMPLOYEE/HRMS/c/C_AM_MENU.C_ATT_EQRY.GBL?FolderPath=POR - Internet Explorer
10:21:50:  考勤异常 - Internet Explorer
10:21:55:  alipay_record_20200706_0943.zip - WinRAR (非商业个人版)
10:22:00:  http://hrms.byintra.com:8800/psp/HCMPRD/EMPLOYEE/HRMS/c/C_AM_MENU.C_ATT_EQRY.GBL?FolderPath=POR - Internet Explorer
10:22:10:  考勤异常 - Internet Explorer
10:22:25:  锁屏状态
10:22:30:  考勤异常 - Internet Explorer
10:23:30:  Employee-facing registry content - Internet Explorer
10:23:40:  员工自助 - Internet Explorer
10:23:45:  考勤异常 - Internet Explorer
10:24:10:  附件1：2020年技术中心查体名单.xlsx
10:24:45:  考勤异常 - Internet Explorer
10:24:50:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:25:35:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
10:25:40:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:38:55:  Adobe Reader
10:39:00:  eSpace
10:39:10:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:39:15:  5.21拨叉功能测试模版_V1.0.xls  [受保护的视图] - Excel
10:39:20:  员工自助 - Internet Explorer
10:39:25:  考勤异常 - Internet Explorer
10:44:50:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:44:50:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:53:30:  eSpace
10:53:45:  姚世龙
10:53:55:  eSpace
10:54:26:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:55:16:  姚世龙
10:56:01:  于斌1
10:57:06:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:57:11:  于斌1
10:58:41:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
10:58:41:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
11:16:41:  Box_1__0000_20200703163131.log - DRB.tat* - TextAnalysisTool.NET
11:16:46:  于斌1
11:16:56:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
11:17:11:  1111.xlsx - Excel
11:17:21:  eSpace
11:18:01:  1111.xlsx - Excel
11:18:31:  5.12 直流电机测试.pptx - PowerPoint
11:18:36:  eSpace
11:18:51:  员工自助 - Internet Explorer
11:19:26:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
11:19:31:  员工自助 - Internet Explorer
11:19:56:  「开始」菜单
11:20:01:  员工自助 - Internet Explorer
11:20:21:  威海卫人民医院-威海市骨科医院官方网站_其它 - Google Chrome
11:20:26:  Oracle | PeopleSoft Enterprise 登录 - Google Chrome
11:20:41:  员工自助 - Internet Explorer
11:21:01:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
11:21:06:  员工自助 - Internet Explorer
11:21:41:  员工自助 - Google Chrome
11:21:46:  已添加书签
11:21:51:  员工自助 - Google Chrome
11:22:21:  Oracle | PeopleSoft Enterprise 登录 - Google Chrome
11:22:26:  员工自助 - Google Chrome
11:23:36:  于斌1
11:24:01:  员工自助 - Google Chrome
11:25:51:  「开始」菜单
11:25:56:  员工自助 - Google Chrome
11:26:41:  eSpace
11:26:46:  于斌1
11:27:01:  员工自助 - Google Chrome
11:27:11:  我的薪酬 - Google Chrome
11:28:56:  hrms.byintra.com:8800/psc/HCMPRD/EMPLOYEE/HRMS/s/WEBLIB_PT_NAV.ISCRIPT1.FieldFormula.IScript_PT_NAV_INFRAME?navtype=dropdown&pt_fname=MYFAVORITES&mode=x&templatetype=IFRM&templateid=DEFAULT_TEMPLATE&c=KJdEIcPtCj5L4E4YoiA4nklZt9SO1vTlnMCIrZ7P1Ws%3d&favcontent=all&recentsearch=false - Google Chrome
11:29:01:  我的薪酬 - Google Chrome
11:28:56:  hrms.byintra.com:8800/psc/HCMPRD/EMPLOYEE/HRMS/s/WEBLIB_PT_NAV.ISCRIPT1.FieldFormula.IScript_PT_NAV_INFRAME?navtype=dropdown&pt_fname=MYFAVORITES&mode=x&templatetype=IFRM&templateid=DEFAULT_TEMPLATE&c=KJdEIcPtCj5L4E4YoiA4nklZt9SO1vTlnMCIrZ7P1Ws%3d&favcontent=all&recentsearch=false - Google Chrome
11:29:01:  我的薪酬 - Google Chrome
11:30:41:  员工自助 - Google Chrome
11:30:56:  无标题 - Google Chrome
11:31:01:  员工自助 - Google Chrome
11:31:06:  Internet Explorer
11:31:11:  员工自助 - Google Chrome
11:31:31:  个人信息修改 - Google Chrome
11:32:06:  员工自助 - Google Chrome
11:32:16:  系统登录 - Internet Explorer
11:32:21:  新北洋OA信息化平台 - Internet Explorer
11:32:51:  新北洋OA信息化平台 - Internet Explorer (未响应)
11:32:56:  员工自助 - Google Chrome
11:33:01:  新北洋OA信息化平台 - Internet Explorer (未响应)
11:33:06:  员工自助 - Google Chrome
11:33:11:  个人信息修改 - Google Chrome
11:34:06:  新北洋OA信息化平台 - Internet Explorer
11:34:11:  系统登录 - Internet Explorer
11:34:21:  新北洋OA信息化平台 - Internet Explorer
11:34:41:  个人信息修改 - Google Chrome
11:35:36:  Employee-facing registry content - Google Chrome
11:35:46:  考勤异常 - Google Chrome
11:36:36:  TCR调测工具 V3.36
11:36:41:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
11:36:51:  MemoryConfig.h - DRB-PRESS - Visual Studio Code [管理员]
11:36:56:  TCR调测工具 V3.36
11:37:01:  发送指令到K06
11:37:06:  TCR调测工具 V3.36
11:37:56:  打开
