11:31:12:  中国银行DRB发货测试缺陷列表.xlsx - Excel
11:31:17:  DRB-190900100002
11:31:22:  DRB-190900100005
11:31:27:  ID-14 下腔5元进行取款报钞箱口 500ms纸币未进入 返回码0X025E0900，纸币堆叠正常。
11:31:32:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
11:31:37:  ID-15 50英镑反向盘点第17张报通道传输过程中卡钞 超过最大长度持续有钞 返回码0X824602B9
11:31:42:  1609400703232.jpg - Windows 照片查看器
11:31:47:  1609400703240.jpg - Windows 照片查看器
11:31:52:  Decode
11:31:57:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:32:17:  LOG
11:32:22:  Box_2__BTCR-1100200600510420_20201231153943.log - DRB.tat* - TextAnalysisTool.NET
11:35:02:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:40:38:  锁屏状态
13:18:53:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
13:24:58:  吉哲
13:25:28:  ● Track.c - DRB-NearFull - Visual Studio Code [管理员]
13:25:33:  E:\深圳出差\gfgd\Applications\FlowControl\TrackSensor\SensorApp.c (gfgd) - Sublime Text (UNREGISTERED)
13:25:38:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c (gfgd) - Sublime Text (UNREGISTERED)
13:25:43:  D:\00-06\meger\Applications\State\State.c (gfgd) - Sublime Text (UNREGISTERED)
13:25:48:  D:\00-06\meger\Applications\State\State.c • (gfgd) - Sublime Text (UNREGISTERED)
13:27:28:  吉哲
13:27:33:  D:\00-06\meger\Applications\State\State.c • (gfgd) - Sublime Text (UNREGISTERED)
13:27:38:  吉哲
13:27:53:  D:\00-06\meger\Applications\State\State.c • (gfgd) - Sublime Text (UNREGISTERED)
13:28:08:  吉哲
13:28:23:  D:\00-06\meger\Applications\State\State.c • (gfgd) - Sublime Text (UNREGISTERED)
13:28:28:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
13:28:33:  锁屏状态
13:28:38:  本地磁盘 (E:)
13:28:53:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrHandle.c • (trunk) - Sublime Text (UNREGISTERED)
13:28:08:  吉哲
13:28:23:  D:\00-06\meger\Applications\State\State.c • (gfgd) - Sublime Text (UNREGISTERED)
13:28:28:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
13:28:33:  锁屏状态
13:28:38:  本地磁盘 (E:)
13:28:53:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrHandle.c • (trunk) - Sublime Text (UNREGISTERED)
13:33:03:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
13:36:03:  吉哲
13:36:43:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
13:37:23:  eSpace
13:37:28:  吉哲
13:38:08:  荆文波
13:38:18:  E:\213815.txt (trunk) - Sublime Text (UNREGISTERED)
13:38:23:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrHandle.c • (trunk) - Sublime Text (UNREGISTERED)
13:38:28:  设置 - DRB-NearFull - Visual Studio Code [管理员]
13:38:33:  吉哲
13:39:13:  锁屏状态
13:39:18:  吉哲
13:39:53:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:40:13:  设置 - DRB-NearFull - Visual Studio Code [管理员]
13:40:18:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
13:48:53:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
13:52:13:  锁屏状态
13:52:18:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
14:06:08:  μVision
14:06:13:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
14:07:24:  KE18-VERSION1
14:07:29:  Tools
14:07:34:  文档
14:07:59:  2021-01-05.txt - 记事本
14:08:09:  【通知】2021个人所得税事项
14:12:24:  2021-01-05.txt - 记事本
14:12:29:  W
14:12:44:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
14:14:44:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:14:44:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:29:09:  新标签页 - Google Chrome
14:29:24:  打开文件夹
14:29:34:  新标签页 - Google Chrome
14:29:39:  支付宝_百度搜索 - Google Chrome
14:29:44:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:29:54:  登录 - 支付宝 - Google Chrome
14:30:04:  我的支付宝 － 支付宝 - Google Chrome
14:29:09:  新标签页 - Google Chrome
14:29:24:  打开文件夹
14:29:34:  新标签页 - Google Chrome
14:29:39:  支付宝_百度搜索 - Google Chrome
14:29:44:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:29:54:  登录 - 支付宝 - Google Chrome
14:30:04:  我的支付宝 － 支付宝 - Google Chrome
14:30:10:  我的账单 - 支付宝 - Google Chrome
14:30:30:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:30:40:  文档
14:30:45:  Subversion
14:30:50:  中国银行DRB发货测试缺陷列表.xlsx - Excel
14:30:55:  alipay_record_20210105_1430_1.csv - Excel
14:32:15:  中国银行DRB发货测试缺陷列表.xlsx - Excel
14:32:20:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:36:55:  TD回复格式.docx [兼容模式] - Word
14:37:45:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:50:35:  荆文波
14:54:45:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
14:56:25:  荆文波
14:57:20:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:00:55:  荆文波
15:06:05:  于斌1
15:06:25:  荆文波
15:07:00:  于斌1
15:07:10:  荆文波
15:07:25:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:09:15:  吉哲
15:10:45:  网易有道词典
15:11:10:  吉哲
15:11:20:  荆文波
15:11:25:  eSpace
15:11:30:  吉哲
15:13:55:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:14:10:  eSpace
15:14:15:  于斌1
15:14:35:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:14:10:  eSpace
15:14:15:  于斌1
15:14:35:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:16:15:  于斌1
15:16:20:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:19:40:  跳转列表
15:19:45:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
15:20:20:  荆文波
15:21:10:  锁屏状态
15:21:25:  荆文波
15:22:40:  本地磁盘 (D:)
15:22:45:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
15:22:55:  2020年下半年劳保发放 
15:23:05:  中国银行DRB发货测试缺陷列表.xlsx - Excel
15:23:15:  荆文波
15:23:50:  问题记录
15:23:55:  中国银行DRB发货测试缺陷列表.xlsx - Excel
15:24:05:  DRB-190900100002
15:24:20:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
15:24:30:  Decode
15:24:35:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
15:25:00:  Decode
15:25:05:  K64_BTCR-1100200700510494_20201228141034
15:25:10:  Box_3__BTCR-1100200700510494_20201228141034.log - DRB.tat* - TextAnalysisTool.NET
