07:57:56:  DRB测试缺陷-3.17.xlsx  [只读] - Excel
08:04:16:  Microsoft Windows
10:11:50:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:12:00:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:12:10:  DRB
10:12:15:  Windows 安全
10:12:20:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:12:25:  DRB
10:12:30:  D:\00-06\DRB - 切换至分支/标记 - TortoiseSVN
10:12:35:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:12:45:  D:\00-06\DRB - 切换 - TortoiseSVN
10:12:55:  切换 完成！
10:13:25:  DRB
10:13:30:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:13:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:00:  输入日志信息
10:14:05:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:10:  历史记录
10:14:15:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:25:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/branches - 日志信息 - TortoiseSVN
10:14:40:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:45:  DRB
10:14:55:  D:\00-06\DRB - 重新定位 - TortoiseSVN
10:14:05:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:10:  历史记录
10:14:15:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:25:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/branches - 日志信息 - TortoiseSVN
10:14:40:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:14:45:  DRB
10:14:55:  D:\00-06\DRB - 重新定位 - TortoiseSVN
10:15:05:  DRB
10:15:15:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:15:40:  D:\00-06\DRB - 切换至分支/标记 - TortoiseSVN
10:15:45:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:16:10:  00-06
10:16:15:  Windows 安全
10:16:20:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:16:30:  历史记录
10:16:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:16:45:  输入日志信息
10:17:05:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:17:30:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN (未响应)
10:17:35:  D:\00-06\DRB - 版本库浏览器 - TortoiseSVN
10:17:40:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_.../BR-2-CashBox1T2-Press - 日志信息 - TortoiseSVN
10:17:45:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:17:50:  版本范围: 
10:18:00:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:18:05:  DRB
10:18:10:  要离线?
10:18:20:  D:\00-06\DRB - 日志信息 (离线) - TortoiseSVN
10:18:30:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:18:40:  DRB
10:18:55:  D:\00-06\DRB - 复制（分支/标记） - TortoiseSVN
10:19:00:  Windows 安全
10:19:05:   - 版本库浏览器 - TortoiseSVN
10:19:15:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN - 日志信息 - TortoiseSVN
10:19:20:  PaperManage.c Revision 4157 - TortoiseMerge
