08:00:08:  D:\00-KE64\select - 工作副本 - TortoiseSVN
10:31:06:  BTCR-1100产品型号MAIN测试对象FV1.000.14版本内部测试报告_20200817.xls  [兼容模式] - Excel
10:31:36:  Microsoft Excel
10:31:41:  BTCR-1100产品型号MAIN测试对象FV1.000.14版本内部测试报告_20200817.xls  [兼容模式] - Excel
10:32:31:  编译失败通知
10:32:36:  subproject0.txt - 记事本
10:32:41:  subproject1.txt - 记事本
10:32:46:  subproject2.txt - 记事本
10:32:56:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:33:01:  BTCR-1100产品型号MAIN测试对象FV1.000.14版本内部测试报告_20200817.xls  [兼容模式] - Excel
10:34:26:  Microsoft Excel
10:34:31:  KeilCompileInfo(2).zip - WinRAR (非商业个人版)
10:34:36:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:36:16:  DRB
10:36:21:  D:\00-06\DRB - 提交 - TortoiseSVN
10:36:36:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:36:41:  fenxi
10:36:46:  DRB
10:37:01:  06- 刘建生
10:37:06:  运行
10:37:16:  模具2.0系统测试过程数据
10:37:21:  系统测试记录
10:37:26:  锁屏状态
10:37:31:  BTCR-1100-固件更改记录_V100.xls  [受保护的视图] - Excel
10:37:56:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:40:11:  复制文件
10:40:16:  DRB
10:40:36:  本地磁盘 (D:)
10:40:41:  D:\00-06\DRB - 日志信息 - TortoiseSVN
10:41:16:  BTCR-1100-固件更改记录_V100.xls  [受保护的视图] - Excel
10:41:21:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:42:26:  20200717-T94
10:42:31:  DRB
10:42:36:  fenxi
10:42:41:  T21
10:42:51:  00-06
10:42:56:  本地磁盘 (D:)
10:43:01:  T21
10:44:11:  BTCR-1100产品型号MAIN测试对象FV1.000.21版本内部测试报告_20200309.xls  [兼容模式] - Excel
10:44:41:  T21
10:44:46:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:44:56:  T21
10:45:01:  00-06
10:44:11:  BTCR-1100产品型号MAIN测试对象FV1.000.21版本内部测试报告_20200309.xls  [兼容模式] - Excel
10:44:41:  T21
10:44:46:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
10:44:56:  T21
10:45:01:  00-06
10:45:06:  D:\00-06\DRB\Tools\CreateJK.exe
10:45:11:  于斌1
10:45:31:  D:\00-06\DRB\Tools\CreateJK.exe
10:45:36:  D:\00-06\DRB - 工作副本 - TortoiseSVN
10:45:41:  DRB
10:45:46:  D:\00-06\DRB\Tools\CreateJK.exe
10:45:51:  于斌1
10:46:01:  Tools
10:46:06:  D:\00-06\DRB\Tools\CreateJK.exe
