09:14:17:  D:\00-06\svnn\Middlewares\StepMotor - 日志信息 - TortoiseSVN
09:14:37:  StepMotor
09:14:57:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:15:02:  D:\00-06\DRB--\Applications\PlateCtrl\UpperPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
09:14:07:  svnn
09:14:12:  StepMotor
09:14:17:  D:\00-06\svnn\Middlewares\StepMotor - 日志信息 - TortoiseSVN
09:14:37:  StepMotor
09:14:57:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:15:02:  D:\00-06\DRB--\Applications\PlateCtrl\UpperPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
09:17:12:  svnn
09:17:17:  计算器
09:18:07:  eSpace
09:18:12:  svnn
09:19:22:  新建Microsoft Excel 工作表.xlsx - Excel
09:19:37:  eSpace
09:19:42:  戚晓东
09:20:32:  新建Microsoft Excel 工作表.xlsx - Excel
09:20:47:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
09:21:52:  计算器
09:22:07:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
09:22:37:  荆文波
09:24:17:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
09:24:22:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
09:27:32:  戚晓东
09:32:07:  自动播放
09:33:22:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:33:27:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:33:58:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:34:03:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:34:13:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:34:18:  设置 - DRB-NearFull - Visual Studio Code [管理员]
09:34:28:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:34:33:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:34:43:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:34:48:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:34:58:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:35:03:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
