09:42:33:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:42:38:  锁屏状态
09:42:58:  数据抓取工具 - Google Chrome
09:43:13:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:43:18:  新北洋OA信息化平台 - Internet Explorer
09:43:23:  Internet Explorer
09:43:28:  考勤异常 - Internet Explorer
09:44:03:  吉哲
09:44:23:  eSpace
09:44:28:  于斌1
09:44:58:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:45:03:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:44:23:  eSpace
09:44:28:  于斌1
09:44:58:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:45:03:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:45:18:  于斌1
09:45:23:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:45:28:  于斌1
09:45:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:45:53:  新北洋OA信息化平台 - Internet Explorer
09:46:03:  我的薪酬 - Internet Explorer
09:46:08:  固件设计中心
09:46:13:  新北洋OA信息化平台 - Internet Explorer
09:46:23:  Excel
09:46:33:  2021年新北洋初村食堂2.1-2.7日菜谱.xlsx  [受保护的视图] - Excel
09:47:08:  新北洋OA信息化平台 - Internet Explorer
09:47:18:  2021年新北洋初村食堂2.1-2.7日菜谱.xlsx  [受保护的视图] - Excel
09:47:28:  本地磁盘 (F:)
09:47:38:  getTheDieal
09:47:43:  dist
09:47:48:  hehe.xlsx - Excel
09:47:58:  2021年新北洋初村食堂2.1-2.7日菜谱.xlsx  [受保护的视图] - Excel
09:48:08:  新北洋OA信息化平台 - Internet Explorer
09:48:13:  2021年新北洋张村食堂2.1-2.7日菜谱.xlsx  [受保护的视图] - Excel
09:48:18:  新北洋OA信息化平台 - Internet Explorer
09:48:23:  dist
09:48:28:  getTheDieal
09:48:48:  GetTheideal.py - F:\小程序\getTheDieal\GetTheideal.py (3.7.3)
09:52:53:  getTheDieal
09:52:58:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:53:48:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
09:53:53:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
09:53:58:  固件设计中心
09:54:03:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
09:57:58:  03 项目周报
09:58:03:  Excel
09:58:13:  TCR+DRB+CRS 项目周报.xlsx  [受保护的视图] - Excel
09:58:28:  Excel
09:58:33:  TCR+DRB+CRS 项目周报.xlsx - Excel
09:58:38:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
09:59:28:  getTheDieal
09:59:33:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
09:59:38:  个人周报-张开发 (64).xlsx - Excel
09:59:43:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
09:58:13:  TCR+DRB+CRS 项目周报.xlsx  [受保护的视图] - Excel
09:58:28:  Excel
09:58:33:  TCR+DRB+CRS 项目周报.xlsx - Excel
09:58:38:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
09:59:28:  getTheDieal
09:59:33:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
09:59:38:  个人周报-张开发 (64).xlsx - Excel
09:59:43:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
10:00:23:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:00:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
10:00:48:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:01:38:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102010936.log
10:01:43:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:01:48:  荆文波
10:02:03:  eSpace
10:02:58:  荆文波
10:03:08:  eSpace
10:03:48:  春节离威统计
10:03:53:  个人周报-张开发 (64).xlsx - Excel
10:03:58:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [受保护的视图] - Excel
10:04:03:  Microsoft Excel
10:04:18:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:04:23:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [受保护的视图] - Excel
10:04:38:  跳转列表
10:04:43:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [受保护的视图] - Excel
10:06:03:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:09:03:  锁屏状态
10:09:33:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:10:43:  Windows 任务管理器
10:11:08:  创建新任务
10:11:18:  Windows 任务管理器
10:12:03:  桌面整理
10:12:23:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:12:28:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
10:12:43:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:14:03:  新建文本文档.exe - 快捷方式
10:14:08:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:14:28:  新标签页 - Google Chrome
10:14:53:  百度一下，你就知道 - Google Chrome
10:14:58:  高祖太宗钦宗是庙号吗_百度搜索 - Google Chrome
10:15:03:  高阻态是什么意思_百度搜索 - Google Chrome
10:14:08:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:14:28:  新标签页 - Google Chrome
10:14:53:  百度一下，你就知道 - Google Chrome
10:14:58:  高祖太宗钦宗是庙号吗_百度搜索 - Google Chrome
10:15:03:  高阻态是什么意思_百度搜索 - Google Chrome
10:15:13:  高阻态_百度百科 - Google Chrome
10:16:08:  高阻态是什么意思_百度搜索 - Google Chrome
10:16:18:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:18:13:  D:\00-06\DRB-1.3\Project\CashBox_1T2.uvprojx - μVision
10:18:23:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:18:48:  Toolbox
10:18:53:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:19:03:  新建文本文档.exe - 快捷方式
10:19:08:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:19:23:  eSpace
10:20:48:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:21:08:  LogExpert #1 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011020.log
10:21:23:  PaperManage.c - trunk - Visual Studio Code [管理员]
10:22:43:  LogExpert #1 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011020.log
10:24:43:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
10:24:48:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:28:23:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:29:38:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:28:23:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:29:38:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:35:03:  TD回复格式.docx [兼容模式] - Word
10:37:03:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:45:28:  库
10:45:33:  本地磁盘 (D:)
10:45:48:  压钞托板测试
10:45:53:  6# -10元.xls  [兼容模式] - Excel
10:46:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:46:08:  本地磁盘 (D:)
10:46:53:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:46:58:  0-工作 - 张开发 - 印象笔记
10:49:33:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
10:50:18:  锁屏状态
10:50:23:  LogExpert #1 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011020.log
10:50:28:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
10:50:53:  KE06LOG.bat - 快捷方式 (2)
10:50:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011050.log
10:51:28:  本地磁盘 (D:)
10:52:38:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202102011050.log
