09:52:18:  RTT_SeggerLog_202012030949.log - [No filter file] - TextAnalysisTool.NET
09:52:28:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:52:38:  J-Link V6.10b Internal Error
09:52:43:  Toolbox
09:52:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:54:13:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012030952.log
09:54:23:  [TRACE]:51  2000 • (DRB--) - Sublime Text (UNREGISTERED)
09:54:33:  2000 • (DRB--) - Sublime Text (UNREGISTERED)
09:55:03:  2000 ,1999, 1999 ,1998 ,1997, 1996 ,1994, 1992 , • (DRB--) - Sublime Text (UNREGISTERED)
09:55:23:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:55:48:  μVision
09:55:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:56:48:  发送指令到K18
09:56:58:  CRS调测工具（研发版）V1.0.2.1
09:57:03:  发送指令到K18
09:57:08:  CRS调测工具（研发版）V1.0.2.1
09:57:28:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:58:08:  发送指令到K18
09:58:18:  CRS调测工具（研发版）V1.0.2.1
09:58:38:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:59:48:  计算器
09:59:53:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:58:08:  发送指令到K18
09:58:18:  CRS调测工具（研发版）V1.0.2.1
09:58:38:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
09:59:48:  计算器
09:59:53:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:00:38:  μVision
10:00:43:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:01:18:  本地磁盘 (D:)
10:01:23:  00-06
10:01:33:  CRS
10:01:43:  CashRecyclerTool 属性
10:01:48:  TCRControlCmdDLL
10:01:53:  Decode
10:01:58:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:04:13:  μVision
10:04:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:07:53:  发送指令到K18
10:07:58:  CRS调测工具（研发版）V1.0.2.1
10:08:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:08:18:  计算器
10:08:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:09:18:  发送指令到K18
10:09:28:  CRS调测工具（研发版）V1.0.2.1
10:09:48:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:10:08:  Toolbox
10:10:13:  CRS调测工具（研发版）V1.0.2.1
10:10:18:  发送指令到K18
10:10:23:  CRS调测工具（研发版）V1.0.2.1
10:10:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:13:03:  KE18LOG.bat - 快捷方式
10:13:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031013.log
10:13:13:  KE18LOG.bat - 快捷方式
10:13:18:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:13:28:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031013.log
10:13:33:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:14:43:  6号 稳定性校验
10:14:48:  接收
10:14:58:  锁屏状态
10:15:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:14:43:  6号 稳定性校验
10:14:48:  接收
10:14:58:  锁屏状态
10:15:03:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:15:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031014.log
10:15:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:15:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031014.log
10:15:48:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:16:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031016.log
10:16:53:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:17:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031016.log
10:17:13:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:38:34:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031016.log
10:38:44:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:39:39:  计算器
10:39:44:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012031016.log
10:39:54:  2000 ,1999, 1999 ,1998 ,1997, 1996 ,1994, 1992 , • (DRB--) - Sublime Text (UNREGISTERED)
10:39:59:  [TRACE]:50  2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:09:  2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:14:  , 2000 ,, 1999 ,, 1998 , 1997 ,, 1994 ,, 1992 , 19 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:19:  , 2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:24:  , 2000 ,, 1999 ,, 1998 , 1997 ,, 1994 ,, 1992 , 19 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:29:  , 2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:40:34:  2000 • (DRB--) - Sublime Text (UNREGISTERED)
10:43:29:  ,2000 ,1999 ,1998 ,1997 ,1994 ,1992 ,1988 ,1984 ,1 • (DRB--) - Sublime Text (UNREGISTERED)
10:43:44:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:45:14:  锁屏状态
10:45:34:  百度一下，你就知道 - Google Chrome
10:45:39:  python 控制舵机_百度搜索 - Google Chrome
10:45:44:  (3条消息) 实战microPython(04)-舵机的控制_spritez的博客-CSDN博客_micropython 舵机 - Google Chrome
10:45:59:  python 控制舵机_百度搜索 - Google Chrome
10:46:04:  shumeippython 控制舵机_百度搜索 - Google Chrome
10:46:09:  树莓派4B-Python-控制舵机_羽之翼的博客-CSDN博客 - Google Chrome
10:46:14:  (3条消息) 树莓派4B-Python-控制舵机_羽之翼的博客-CSDN博客 - Google Chrome
10:46:24:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:46:29:  CRS调测工具（研发版）V1.0.2.1
10:48:09:  20201202
10:48:14:  Decode
10:48:19:  LogExpert - C:\Users\zhangkaifa\Desktop\CRSTesttool_20201125\CRSTesttool_20201125(2)\CRSTesttool_20201125\log\TCRControlCmdDLL\20201202\Decode\CS_0000_20201202110121.log
10:48:29:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
