09:14:59:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:15:09:  LowerPlateCtrl.c - TortoiseMerge
09:15:14:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:15:19:  PressurePlateCtrl.c - TortoiseMerge
09:15:44:  UpperPlateCtrl.c - TortoiseMerge
09:15:49:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:15:54:  Separate.c - TortoiseMerge
09:15:59:  State.c - TortoiseMerge
09:16:04:  Track.c - TortoiseMerge
09:16:14:  TortoiseMerge
09:16:19:  文件补丁  
09:16:24:  BldcDriver.c - TortoiseMerge
09:16:39:  TortoiseMerge
09:16:44:  CapDriver.c - TortoiseMerge
09:16:54:  TortoiseMerge
09:16:59:  CapDriver.c - TortoiseMerge
09:17:04:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:17:09:  FtmConfig.c - TortoiseMerge
09:17:14:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:17:19:  LpitDriver.c - TortoiseMerge
09:17:24:  文件补丁  
09:17:29:  TortoiseMerge
09:17:34:  StepMotorDriver.c - TortoiseMerge
09:17:39:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:17:55:  PressurePlate.c - TortoiseMerge
09:18:10:  UpperPlate.c - TortoiseMerge
09:18:15:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
09:18:20:  DRB-PRESS
09:23:55:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:24:15:  自动播放
09:24:20:  iTunes
09:24:30:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:24:45:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:26:46:  打开
09:26:51:  TCR调测工具 V3.36
09:26:56:  打开
09:27:01:  TCR调测工具 V3.36
09:28:01:  钞箱配置
09:28:12:  TCR调测工具 V3.36
09:29:27:  取款
09:29:32:  TCR调测工具 V3.36
09:28:12:  TCR调测工具 V3.36
09:29:27:  取款
09:29:32:  TCR调测工具 V3.36
09:30:13:  取款
09:30:18:  TCR调测工具 V3.36
09:32:53:  取款
09:32:58:  TCR调测工具 V3.36
09:34:34:  取款
09:34:49:  TCR调测工具 V3.36
09:37:34:  取款
09:37:44:  TCR调测工具 V3.36
09:38:39:  取款
09:38:44:  TCR调测工具 V3.36
09:41:09:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:42:49:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:42:54:  设置 - DRB-PRESS - Visual Studio Code [管理员]
09:42:59:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:43:09:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:43:14:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:43:49:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:43:54:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:45:39:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:45:44:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:46:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:46:44:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:47:04:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:49:44:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:49:49:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
09:50:04:  设置 - DRB-PRESS - Visual Studio Code [管理员]
09:50:09:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:50:40:  ● PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:51:20:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:51:25:  JLink - Cortex-M Error
09:51:30:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:52:00:  PressurePlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:56:45:  KE06LOG.bat - 快捷方式 (2)
09:56:50:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:57:05:  RTT_SeggerLog_202007270956.log - DRB.tat* - TextAnalysisTool.NET
09:57:10:  新建 Microsoft Excel 工作表.xlsx - Excel
09:57:15:  Microsoft Excel
09:57:20:  新建 Microsoft Excel 工作表.xlsx - Excel
09:57:30:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:57:50:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:58:55:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
09:59:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:59:20:  Watch 1
09:59:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:59:30:  KE06LOG.bat - 快捷方式 (2)
