08:09:49:  各位看看各自的考核比是否需要调整，如有问题请今天上午反馈
08:37:44:  20200915
08:37:49:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:37:54:  锁屏状态
08:37:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:38:24:  TCR调测工具（研发版）V1.0.0.4
08:38:34:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:38:44:  TCR调测工具（研发版）V1.0.0.4
08:38:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:38:59:  删除多个项目
08:39:04:  20200915
08:39:19:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:39:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:39:54:  20200915
08:39:59:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:40:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:40:44:  20200915
08:40:54:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:41:04:  打开
08:41:14:  Decode
08:41:19:  锁屏状态
08:41:24:  Decode
08:41:29:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:41:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:42:14:  Add Filter
08:42:24:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:43:34:  TCR调测工具（研发版）V1.0.0.4
08:43:44:  打开
08:43:49:  TCR调测工具（研发版）V1.0.0.4
08:43:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:47:24:  TCR调测工具（研发版）V1.0.0.4
08:47:29:  删除多个项目
08:47:34:  TCR调测工具（研发版）V1.0.0.4
08:47:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:47:49:  20200915
08:47:54:  K18_0000_20200915083706.log - [No filter file] - TextAnalysisTool.NET
08:47:59:  K18_0000_20200915084721.log - [No filter file] - TextAnalysisTool.NET
08:48:14:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:48:19:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:49:09:  20200915
08:49:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:49:34:  K18_0000_20200915084721.log - [No filter file] - TextAnalysisTool.NET
08:49:39:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:50:49:  μVision
08:50:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:51:14:  V1.009
08:51:19:  TCR调测工具（研发版）V1.0.0.4
08:51:34:  BTCRTestTool
08:51:39:  跳转列表
08:51:44:  锁屏状态
08:51:49:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:51:54:  Decode
08:51:59:  K18_0000_20200915085113.log - [No filter file] - TextAnalysisTool.NET
08:54:39:  Decode
08:54:44:  K64_0000_20200915085113.log - [No filter file] - TextAnalysisTool.NET
08:55:04:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:55:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:56:44:  20200915
08:56:49:  K18_0000_20200915085113.log - [No filter file] - TextAnalysisTool.NET
08:57:09:  20200915
08:57:14:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:57:39:  于斌1
08:57:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:04:  20200915
08:58:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:29:  TCR调测工具（研发版）V1.0.0.4
08:58:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:59:  TCR调测工具（研发版）V1.0.0.4
08:59:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:59:24:  打开
08:59:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:59:44:  TCR调测工具（研发版）V1.0.0.4
08:59:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:00:04:  TCR调测工具（研发版）V1.0.0.4
08:58:09:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:29:  TCR调测工具（研发版）V1.0.0.4
08:58:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:59:  TCR调测工具（研发版）V1.0.0.4
08:59:04:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:59:24:  打开
08:59:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:59:44:  TCR调测工具（研发版）V1.0.0.4
08:59:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:00:04:  TCR调测工具（研发版）V1.0.0.4
09:00:19:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:00:34:  TCR调测工具（研发版）V1.0.0.4
09:00:39:  跳转列表
09:00:44:  TCR调测工具（研发版）V1.0.0.4
09:00:54:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:01:09:  TCR调测工具（研发版）V1.0.0.4
09:01:24:  打开
09:01:29:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:01:39:  TCR调测工具（研发版）V1.0.0.4
09:01:49:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:01:54:  TCR调测工具（研发版）V1.0.0.4
09:01:59:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:02:29:  回收 
09:02:34:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
09:03:59:  TCR调测工具（研发版）V1.0.0.4
09:04:09:  BTCRTestTool
09:04:19:  20200915
09:04:24:  跳转列表
09:04:29:  K18_0000_20200915090153.log - [No filter file] - TextAnalysisTool.NET
09:05:14:  于斌1
09:05:39:  K18_0000_20200915090153.log - [No filter file] - TextAnalysisTool.NET
