08:00:43:  回复: DRB钞箱工程样机现有缺陷讨论会 会议纪要-----与总工沟通确认
09:52:42:  E:\深圳出差\CRS-64-1\Applications\CanComm\SlaveBoardComm\CSBoardCmd.c (CRS-64-1) - Sublime Text (UNREGISTERED)
09:52:47:  E:\深圳出差\CRS-64-1\Applications\CanComm\SlaveBoardComm\EscBoardCmd.h (CRS-64-1) - Sublime Text (UNREGISTERED)
09:52:52:  E:\深圳出差\CRS-64-1\Applications\MemoryConfig.h (CRS-64-1) - Sublime Text (UNREGISTERED)
09:52:57:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackSensor\SensorApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
09:53:02:  计算器
09:53:07:  E:\深圳出差\CRS-64-1\Drivers\SensorDriver\SensorRcv.h (CRS-64-1) - Sublime Text (UNREGISTERED)
09:53:12:  传感器AD值测试
09:53:27:  CRS电气资料.xlsx
09:53:47:  TCR调测工具（研发版）V1.0.0.4
09:53:52:  CRS电气资料.xlsx
09:54:12:  TCR调测工具（研发版）V1.0.0.4
09:54:17:  传感器AD值测试
09:54:27:  TCR调测工具（研发版）V1.0.0.4
09:55:57:  日报
09:56:02:  CRS
09:56:07:  查找
09:56:17:  TCR调测工具（研发版）V1.0.0.4
09:56:27:  传感器AD值测试
09:56:32:  TCR调测工具（研发版）V1.0.0.4
09:56:37:  CRS_ErrCode_list_excel_flg.txt - 记事本
09:56:42:  TCR调测工具（研发版）V1.0.0.4
09:57:02:  传感器AD值测试
09:57:22:  CRS电气资料.xlsx
09:58:07:  TCR调测工具（研发版）V1.0.0.4
10:00:02:  取款
09:58:07:  TCR调测工具（研发版）V1.0.0.4
10:00:02:  取款
10:00:07:  20200924
10:00:22:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
10:01:07:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
10:01:12:  CRS_ErrCode_list_excel_flg.txt - 记事本
10:01:17:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
10:04:32:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:17:28:  Toolbox
10:17:33:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:17:58:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
10:18:08:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:18:13:  Decode
10:18:18:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
10:18:38:  CRS_ErrCode_list_excel_flg.txt - 记事本
10:18:48:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
10:20:13:  TCR调测工具（研发版）V1.0.0.4
10:20:33:  Decode
10:20:38:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:31:18:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
11:01:23:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:01:33:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackSensor\SensorApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:01:38:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:01:48:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:01:53:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:02:23:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:02:28:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:02:38:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:02:48:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:02:53:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:02:58:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:03:23:  K64_0000_20200924100003.log - DRB.tat* - TextAnalysisTool.NET
11:03:28:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:03:38:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\GateModule.h (CRS-64-1) - Sublime Text (UNREGISTERED)
11:03:43:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:03:53:  D:\00-KE64\新建文件夹\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
11:04:18:  D:\00-KE64\新建文件夹\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
11:04:28:  E:\深圳出差\CRS-64-1\Applications\FlowControl\TrackModule\CashBoxModuleApp.c (CRS-64-1) - Sublime Text (UNREGISTERED)
