13:35:02:  Visual Studio Code Settings Synchronization - Google Chrome
13:35:07:  翻译此页？
13:35:42:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:35:52:  Sync Settings - trunk - Visual Studio Code [管理员]
13:35:57:  Visual Studio代码设置同步 - Google Chrome
13:36:07:  Visual Studio Code
13:36:12:  Visual Studio代码设置同步 - Google Chrome
13:36:32:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:36:52:  Sync Settings - trunk - Visual Studio Code [管理员]
13:37:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:37:22:  Visual Studio代码设置同步 - Google Chrome
13:37:32:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:37:42:  Visual Studio Code
13:37:47:  Authorizing OAuth Apps - GitHub Docs - Internet Explorer
13:37:57:  Authorize application - Internet Explorer
13:38:07:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:38:12:  Sync Settings - trunk - Visual Studio Code [管理员]
13:38:27:  Visual Studio代码设置同步 - Google Chrome
13:38:32:  VSCode 使用Settings Sync同步配置(最新版教程,非常简单) - 墨抒颖 - 博客园 - Google Chrome
13:38:47:  设置 - trunk - Visual Studio Code [管理员]
13:39:12:  扩展: Settings Sync - trunk - Visual Studio Code [管理员]
13:39:42:  https://github.com/login/oauth/authorize?scope=gist%20read:user&client_id=cfd96460d8b110e2351b& - Internet Explorer
13:39:47:  Sync Settings - trunk - Visual Studio Code [管理员]
13:39:52:  扩展: Settings Sync - trunk - Visual Studio Code [管理员]
13:40:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:40:22:  https://www.baidu.com/link?url=0oehq19JbbppTnLVuJGtTFmzzds_LsGBQCq4fv5f_1hVp-vs0jKbSSP00aJBu9Enb7K7gPPztzZJoCuSlD4-66ppDIBAQ29qXDF8t3KrfES&wd=&eqid=840af5390004a8f8000000025f0692e5 - Google Chrome
13:40:27:  vscode中的插件Settings Sync（设置和插件同步）基本用法_树苗先生的博客-CSDN博客_settings sync如何使用 - Google Chrome
13:40:47:  https://www.baidu.com/link?url=HhxMDpOqkKkV_eFmOOgl9OmdJuzsB4G7hK8jpzF1or-YniFGnuifVNKx9gs5X2TIJUW1tBvYYsW-n02lQ_acgl9tfCkTo8Ll83HvDHkywba&wd=&eqid=840af5390004a8f8000000025f0692e5 - Google Chrome
13:40:52:  如何使用VSCode 的Setting Sync插件_q_3352321698的博客-CSDN博客_vscode sync - Google Chrome
13:41:22:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:41:27:  扩展: Settings Sync - trunk - Visual Studio Code [管理员]
13:41:32:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:41:37:  新标签页 - Google Chrome
13:41:42:  Sign in to GitHub · GitHub - Google Chrome
13:42:07:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
13:42:17:  Sign in to GitHub · GitHub - Google Chrome
13:42:22:  https://github.com/login/oauth/authorize?scope=gist%20read:user&client_id=cfd96460d8b110e2351b& - Internet Explorer
13:42:27:  Authorize application - Internet Explorer
13:42:42:  Authorize application - Google Chrome
13:42:52:  翻译此页？
13:42:57:  授权申请 - Google Chrome
13:43:02:  localhost:54321/callback?code=1491dffc522cab7770fb - Google Chrome
13:43:07:  TCR调测工具 V3.36
13:43:12:  Welcome to Settings Sync - trunk - Visual Studio Code [管理员]
