08:04:38:  ClassLog333.py - [C:\Users\zhangkaifa\AppData\Local\Temp\ClassLog333.py] - ClassLog333.py - PyCharm Community Edition 2017.1.5
10:16:24:  Box_4__BTCR-1100200600510420_20201022082652.log - DRB.tat - TextAnalysisTool.NET
10:19:04:  荆文波
10:19:24:  Box_4__BTCR-1100200600510420_20201022082652.log - DRB.tat - TextAnalysisTool.NET
10:19:29:  荆文波
10:20:59:  Box_4__BTCR-1100200600510420_20201022082652.log - DRB.tat - TextAnalysisTool.NET
10:21:04:  K64_BTCR-1100200600510420_20201022082652
10:21:44:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:28:04:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010221027.log
10:32:24:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:35:34:  V1.003
10:35:39:  TCR调测工具 V3.36
10:36:34:  钞箱配置
10:36:49:  取款
10:36:54:  TCR调测工具 V3.36
10:37:29:  取款
10:37:34:  TCR调测工具 V3.36
10:39:09:  通道电机测试
10:39:14:  TCR调测工具 V3.36
10:39:19:  TCR调测工具（研发版）V1.0.0.4
10:39:24:  通道电机测试
10:39:39:  TCR调测工具 V3.36
10:42:24:  发送指令到K06
10:42:29:  TCR调测工具 V3.36
10:42:34:  打开
10:42:49:  TCR调测工具 V3.36
10:49:14:  未命名 - 写邮件
10:49:24:  K64_BTCR-1100200600510420_20201022082652
10:49:29:  DRB--
10:49:34:  本地磁盘 (D:)
10:49:39:  Tools
10:49:44:  未命名 - 写邮件
10:49:49:  Tools
10:50:04:  BNE-R1200M_CS_KE18_FV1000_EXTFEDAD1V10_MAIN_T00 - 写邮件
10:55:34:  TCR调测工具 V3.36
10:55:39:  TCR调测工具（研发版）V1.0.0.4
10:55:54:  打开
10:56:14:  BTCRTestTool
10:56:24:  TCR调测工具（研发版）V1.0.0.4
10:56:39:  锁屏状态
10:56:44:  TCR调测工具（研发版）V1.0.0.4
10:57:04:  BTCRTestTool
10:57:24:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
10:58:14:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
10:58:34:  TCR调测工具（研发版）V1.0.0.4
10:58:39:  打开
10:58:44:  TCR调测工具（研发版）V1.0.0.4
10:58:14:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
10:58:34:  TCR调测工具（研发版）V1.0.0.4
10:58:39:  打开
10:58:44:  TCR调测工具（研发版）V1.0.0.4
11:00:49:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:01:54:  本地磁盘 (D:)
11:01:59:  5555
11:02:04:  D:\CRS\5555 - 工作副本 - TortoiseSVN
11:02:09:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:02:19:  InstrExe.c Revision 584 - TortoiseMerge
11:02:34:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:02:39:  InstrExe.c Revision 584 - TortoiseMerge
11:02:49:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:02:54:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:03:04:  InstrExp.h Revision 584 - TortoiseMerge
11:03:29:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:03:39:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:03:44:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:03:49:  InstrExp.h Revision 584 - TortoiseMerge
11:03:54:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:04:14:  Cortex JLink/JTrace Target Driver Setup
11:04:24:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:04:29:  TCR调测工具（研发版）V1.0.0.4
11:04:44:  BTCRTestTool
11:04:54:  TCR调测工具（研发版）V1.0.0.4
11:05:04:  打开
11:05:19:  D:\CRS\KE18-UP\Project\ke18_rtt.uvprojx - μVision
11:05:24:  InstrExp.h Revision 584 - TortoiseMerge
11:05:34:  5555
11:05:44:  历史记录
11:05:49:  D:\CRS\5555 - 提交 - TortoiseSVN
11:05:59:  张健4
11:06:09:  TCR调测工具（研发版）V1.0.0.4
11:06:24:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:07:04:  TCR调测工具（研发版）V1.0.0.4
11:07:09:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:07:19:  5555
11:07:24:  TCR调测工具（研发版）V1.0.0.4
11:07:39:  Tools
11:10:04:  CRS
11:10:09:  G
11:10:14:  正在复制 1,927 个项目(144 MB)
11:10:19:  正在复制 2,671 个项目(163 MB)
11:10:24:  剩余 5 分钟 30 秒
11:10:54:  文件访问被拒绝
11:11:09:  剩余 4 分钟
11:11:54:  剩余 2 分钟 15 秒
11:12:14:  剩余 60 秒
11:12:29:  剩余 45 秒
11:12:44:  剩余 60 秒
11:13:04:  剩余 45 秒
11:13:14:  G
11:15:45:  Program Manager
11:15:50:  ARM - Everything
11:15:55:  ARM.CM - Everything
11:16:00:  ARM.CMSIS. - Everything
11:16:05:  G
11:16:10:  正在复制 1 个项目(106 MB)
11:16:15:  DFP - Everything
11:16:20:  DFP.1 - Everything
11:16:30:  剩余 5 秒
11:16:35:  正在复制 1 个项目(88.9 MB)
11:16:45:  G
11:27:55:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:28:35:  TCR调测工具（研发版）V1.0.0.4
11:29:00:  传感器AD值测试
11:29:05:  TCR调测工具（研发版）V1.0.0.4
11:28:35:  TCR调测工具（研发版）V1.0.0.4
11:29:00:  传感器AD值测试
11:29:05:  TCR调测工具（研发版）V1.0.0.4
11:31:05:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:39:00:  本地磁盘 (D:)
11:39:05:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:39:15:  InstrExp.h Revision 584 - TortoiseMerge
11:39:30:  InstrExp.c Revision 584 - TortoiseMerge
11:39:35:  D:\CRS\5555 - 日志信息 - TortoiseSVN
11:39:45:  InstrExe.c Revision 584 - TortoiseMerge
11:39:50:  Init.c Revision 584 - TortoiseMerge
11:39:55:  锁屏状态
11:40:00:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
11:40:35:  锁屏状态
13:07:11:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
13:07:16:  G
13:07:26:  D:\CRS\5555 - 日志信息 - TortoiseSVN
13:07:36:  5555
13:08:56:  eSpace
13:09:06:  锁屏状态
13:09:21:  新标签页 - Google Chrome
13:09:46:  自动播放
13:18:36:  D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision
13:23:41:  TCR调测工具 V3.36
13:23:56:  打开
13:24:01:  TCR调测工具 V3.36
13:24:51:  钞箱配置
13:25:01:  取款
13:25:11:  TCR调测工具 V3.36
13:25:46:  00-06
13:25:56:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:26:26:  DRB--
13:26:31:  D:\00-06\DRB--\Tools\CreateJK.exe
13:26:36:  打开
13:26:41:  TCR调测工具 V3.36
13:28:31:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:28:31:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:30:06:  D:\00-06\DRB--\Tools\CreateJK.exe
13:30:11:  打开
13:30:16:  TCR调测工具 V3.36
13:30:56:  取款
13:31:01:  TCR调测工具 V3.36
13:32:16:  eSpace
13:32:21:  TCR调测工具 V3.36
13:32:31:  取款
13:32:36:  TCR调测工具 V3.36
13:32:56:  跳转列表
13:33:01:  log
13:33:06:  20201022
13:33:16:  LOG
13:33:26:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:33:31:  开发，DRB最快速度是否可以匹配到12.5张/秒的速度要求？
13:34:41:  Fw: 开发，DRB最快速度是否可以匹配到12.5张/秒的速度要求？ - 写邮件
13:35:26:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
13:35:31:  锁屏状态
13:35:36:  D:\00-06\DRB--\Tools\CreateJK.exe
13:35:41:  TCR调测工具 V3.36
13:36:31:  计算器
13:36:56:  取款
13:37:01:  TCR调测工具 V3.36
13:37:36:  Windows 资源管理器
13:37:41:  20201022
13:37:46:  Decode
13:37:51:  K64_BTCR-1100190803000_20201022133700
13:37:56:  Box_1__BTCR-1100190803000_20201022133700.log - DRB.tat - TextAnalysisTool.NET
13:40:56:  TCR调测工具 V3.36
13:41:31:  取款
13:41:36:  TCR调测工具 V3.36
13:43:41:  本地磁盘 (D:)
13:43:46:  Tools
13:43:51:  44
13:43:56:  LogHandle.c - TortoiseMerge
13:44:06:  44
13:44:11:  未命名 - 写邮件
13:44:16:  发送邮件
13:44:06:  44
13:44:11:  未命名 - 写邮件
13:44:16:  发送邮件
13:48:11:  Tools
13:48:16:  新建文件夹
13:48:26:  C:\Windows\py.exe
13:48:36:  新建文件夹
13:48:46:  C:\Windows\py.exe
13:48:51:  log0.txt - 记事本
13:48:56:  Decode
13:49:41:  log1.txt - 记事本
13:49:46:  新建文件夹
13:49:51:  Decode
13:50:16:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:50:21:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:51:06:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:51:16:  Save Before Run or Check
13:51:21:  log2.txt - 记事本
13:51:26:  Decode
13:51:51:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)*
13:52:31:  *Python 3.7.3 Shell*
13:52:36:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\Decode\ClassLog333.py (3.7.3)
13:52:46:  Decode
