10:43:20:  CS_0000_20210113151114.log - DRB.tat* - TextAnalysisTool.NET
10:44:15:  D:\CRS\KE18-VERSION1\Applications\ImpellerCtrl\ImpellerCtrl.c (KE18-VERSION1) - Sublime Text (UNREGISTERED)
10:44:15:  D:\CRS\KE18-VERSION1\Applications\ImpellerCtrl\ImpellerCtrl.c (KE18-VERSION1) - Sublime Text (UNREGISTERED)
10:47:10:  CS_0000_20210113151114.log - DRB.tat* - TextAnalysisTool.NET
10:48:15:  CRS
10:48:25:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:52:25:  666
10:52:30:  检查更新
10:52:35:  D:\CRS\666 - 更新 - TortoiseSVN
10:52:40:  更新 完成！
10:52:45:  SeparatorCtrl.h.mine - TortoiseMerge
10:52:50:  更新 完成！
10:52:55:  TortoiseSVN
10:53:00:  μVision
10:53:05:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
10:53:20:  666
10:53:30:  PaperManage.c - trunk - Visual Studio Code [管理员]
11:01:45:  CS_0000_20210113151114.log - DRB.tat* - TextAnalysisTool.NET
11:02:40:  PaperManage.c - trunk - Visual Studio Code [管理员]
11:04:55:  ● PaperManage.c - trunk - Visual Studio Code [管理员]
11:07:40:  PaperManage.c - trunk - Visual Studio Code [管理员]
11:16:55:  锁屏状态
11:17:00:  PaperManage.c - trunk - Visual Studio Code [管理员]
11:40:21:  锁屏状态
13:15:46:  PaperManage.c - trunk - Visual Studio Code [管理员]
13:17:46:  闫斌朋
13:17:51:  PaperManage.c - trunk - Visual Studio Code [管理员]
13:30:26:  03 项目周报
13:30:36:  Decode
13:30:46:  春节离威统计
13:30:51:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [受保护的视图] - Excel
13:31:16:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [共享] - Excel
13:34:06:  接收
13:34:11:  本地磁盘 (E:)
13:34:16:  D:\00-06\meger\Applications\Separate\Separate.c (meger) - Sublime Text (UNREGISTERED)
13:34:21:  D:\00-06\meger\Applications\MotorCtrl\MotorCtrl.c (meger) - Sublime Text (UNREGISTERED)
13:35:16:  E:\213815.txt (meger) - Sublime Text (UNREGISTERED)
13:35:21:  D:\00-06\meger\Applications\Separate\Separate.c (meger) - Sublime Text (UNREGISTERED)
13:35:26:  闫斌朋
13:35:36:  D:\00-06\meger\Applications\Separate\Separate.c (meger) - Sublime Text (UNREGISTERED)
13:35:41:  eSpace
13:36:01:  荆文波
13:36:16:  eSpace
13:36:21:  PaperManage.c - trunk - Visual Studio Code [管理员]
13:36:26:  设置 - trunk - Visual Studio Code [管理员]
13:36:31:  Plate.c - trunk - Visual Studio Code [管理员]
13:37:16:  荆文波
13:37:51:  Plate.c - trunk - Visual Studio Code [管理员]
13:38:31:  荆文波
13:39:06:  Plate.c - trunk - Visual Studio Code [管理员]
13:40:22:  荆文波
13:41:02:  Plate.c - trunk - Visual Studio Code [管理员]
13:42:32:  荆文波
13:42:47:  Plate.c - trunk - Visual Studio Code [管理员]
13:48:27:  PaperManage.c - trunk - Visual Studio Code [管理员]
13:55:02:  春节离威统计
13:55:07:  20210116-春节期间企业放假安排情况及离威人员情况统计表-XX企业名称（模板）-1.xlsx  [受保护的视图] - Excel
13:55:37:  20180613 TCR内部指令手册_V001.xlsx - Excel
13:55:42:  PaperManage.c - trunk - Visual Studio Code [管理员]
14:00:17:  设置 - trunk - Visual Studio Code [管理员]
14:00:27:  PaperManage.c - trunk - Visual Studio Code [管理员]
14:37:52:  计算器
14:38:17:  PaperManage.c - trunk - Visual Studio Code [管理员]
14:56:13:  固件设计中心
14:56:43:  新北洋OA信息化平台 - Internet Explorer
14:56:53:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:05:48:  计算器
15:13:33:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:26:48:  于斌1
15:27:03:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:27:33:  于斌1
15:27:38:  Network Flyout
15:27:43:  网络连接
15:27:48:  Realtek PCIe GBE Family Controller 属性
15:27:58:  Internet 协议版本 6 (TCP/IPv6) 属性
15:28:03:  本地连接 属性
15:28:08:  于斌1
15:28:28:  运行
15:28:33:  管理员: C:\Windows\system32\cmd.exe
15:28:48:  本地连接 属性
15:29:43:  自动播放
15:30:03:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:28:08:  于斌1
15:28:28:  运行
15:28:33:  管理员: C:\Windows\system32\cmd.exe
15:28:48:  本地连接 属性
15:29:43:  自动播放
15:30:03:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:44:23:  1月
15:44:38:  锁屏状态
15:44:43:  文件正在使用
15:44:48:  Excel
15:44:53:  产品线人力投入情况汇总-20210118.xlsx  [受保护的视图] - Excel
15:45:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:44:23:  1月
15:44:38:  锁屏状态
15:44:43:  文件正在使用
15:44:48:  Excel
15:44:53:  产品线人力投入情况汇总-20210118.xlsx  [受保护的视图] - Excel
15:45:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
15:45:13:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:51:23:  于斌1
15:53:19:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:56:44:  于斌1
15:58:29:  PaperManage.c - trunk - Visual Studio Code [管理员]
15:58:29:  PaperManage.c - trunk - Visual Studio Code [管理员]
17:02:29:  ● PaperManage.c - trunk - Visual Studio Code [管理员]
17:10:29:  于斌1
17:10:34:  锁屏状态
17:10:39:  于斌1
17:10:49:  PaperManage.c - trunk - Visual Studio Code [管理员]
17:12:54:  锁屏状态
