09:58:11:  固件模块方案设计-日志存储v1.00 -.docx-revHEAD.svn000.tmp.docx [只读] - Word
09:58:06:  锁屏状态
09:58:11:  固件模块方案设计-日志存储v1.00 -.docx-revHEAD.svn000.tmp.docx [只读] - Word
10:00:06:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:00:31:  固件模块方案设计-日志存储v1.00 -.docx-revHEAD.svn000.tmp.docx [只读] - Word
10:04:11:  锁屏状态
10:04:16:  固件模块方案设计-日志存储v1.00 -.docx-revHEAD.svn000.tmp.docx [只读] - Word
10:04:46:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
10:04:51:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:05:01:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:07:36:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:07:41:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
10:08:11:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:08:16:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:08:21:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:09:01:  D:\00-06\DRB\Tools\CreateJK.exe
10:09:06:  Tools
10:09:11:  TCR调测工具 V3.36
10:09:31:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:09:36:  TCR调测工具 V3.36
10:10:21:  20210318
10:10:26:  Decode
10:10:31:  Box_4__BTCR-1100200400210043_20210318095057.log - DRB2.tat* - TextAnalysisTool.NET
10:10:36:  Box_4__BTCR-1100200400210043_20210318100933.log - DRB2.tat* - TextAnalysisTool.NET
10:11:06:  发送指令到K06
10:11:16:  TCR调测工具 V3.36
10:11:31:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
10:11:51:  TCR调测工具 V3.36
10:11:56:  发送指令到K06
10:12:01:  TCR调测工具 V3.36
10:12:06:  K64_BTCR-1100200400210043_20210318100933
10:12:11:  20210318
10:12:41:  Decode
10:12:46:  Box_4__BTCR-1100200400210043_20210318101203.log - DRB2.tat* - TextAnalysisTool.NET
10:12:56:  K64_BTCR-1100200400210043_20210318101203
10:13:01:  20210318
