07:56:45:  刘茂林
08:49:15:  D:\00-06\DRB\Applications\Instruction\InstrExecute.c (DRB) - Sublime Text (UNREGISTERED)
08:49:20:  D:\00-06\DRB\Applications\CashBoxInfo\CashBoxInfo.c (DRB) - Sublime Text (UNREGISTERED)
08:49:55:  D:\00-06\DRB\Applications\Instruction\InstrHandle.c (DRB) - Sublime Text (UNREGISTERED)
08:50:25:  D:\00-06\DRB\Applications\Instruction\InstrExecute.c (DRB) - Sublime Text (UNREGISTERED)
08:50:40:  D:\00-06\DRB\Applications\Instruction\InstrHandle.c (DRB) - Sublime Text (UNREGISTERED)
08:50:55:  D:\00-06\DRB\Applications\Instruction\InstrExecute.c (DRB) - Sublime Text (UNREGISTERED)
08:51:05:  D:\00-06\DRB\Applications\CashBoxInfo\CashBoxInfo.c (DRB) - Sublime Text (UNREGISTERED)
08:51:10:  D:\00-06\DRB\Applications\MemoryConfig.h (DRB) - Sublime Text (UNREGISTERED)
08:52:40:  D:\00-KE64\10\Applications\InstrExp\InstrSUBProcess.c (10) - Sublime Text (UNREGISTERED)
08:54:16:  10
08:54:21:  SensorModuleIF.c - TortoiseMerge
08:54:31:  InstrGSProcess.c - TortoiseMerge
08:54:36:  D:\00-KE64\10 - 工作副本 - TortoiseSVN
08:54:41:  D:\00-KE64\10\Applications\InstrExp\InstrSUBProcess.c (10) - Sublime Text (UNREGISTERED)
09:15:36:  DRB
09:15:41:  fenxi
09:15:46:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
09:15:51:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:16:26:  TheDateInfo.xls  [兼容模式] - Excel
09:16:31:  桌面整理
09:16:36:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:16:51:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:17:36:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:17:51:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:18:06:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:18:16:  跳转列表
09:18:21:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:18:46:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:18:56:  锁屏状态
09:19:01:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:20:01:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:20:06:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:23:11:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
09:23:31:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:24:11:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:24:21:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Track\Track.h (trunk) - Sublime Text (UNREGISTERED)
09:24:26:  计算器
09:24:41:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:24:56:  计算器
09:25:01:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:25:11:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:25:16:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:25:21:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.h (trunk) - Sublime Text (UNREGISTERED)
09:25:31:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c • (trunk) - Sublime Text (UNREGISTERED)
09:25:46:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:26:06:  K64_0003_20210302151623
09:26:16:  Decode
09:26:26:  K64_0000_20210303090837.log - DRB.tat* - TextAnalysisTool.NET
09:27:36:  TCR调测工具 V3.36
09:28:01:  跳转列表
09:28:06:  20210303
09:28:26:  Decode
09:28:31:  K64_0000_20210303092740
09:28:36:  Box_4__0000_20210303092740.log - DRB.tat* - TextAnalysisTool.NET
09:28:46:  20210303
09:28:56:  Decode
09:29:01:  Box_4__0000_20210303092740.log - DRB.tat* - TextAnalysisTool.NET
09:29:16:  Decode
09:29:21:  20210303
09:29:51:  D:\00-06\DRB\Applications\MemoryConfig.h (DRB) - Sublime Text (UNREGISTERED)
09:29:56:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
09:28:06:  20210303
09:28:26:  Decode
09:28:31:  K64_0000_20210303092740
09:28:36:  Box_4__0000_20210303092740.log - DRB.tat* - TextAnalysisTool.NET
09:28:46:  20210303
09:28:56:  Decode
09:29:01:  Box_4__0000_20210303092740.log - DRB.tat* - TextAnalysisTool.NET
09:29:16:  Decode
09:29:21:  20210303
09:29:51:  D:\00-06\DRB\Applications\MemoryConfig.h (DRB) - Sublime Text (UNREGISTERED)
09:29:56:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
09:33:11:  收取邮件 - 张开发
09:33:16:  删除文件
09:33:21:  Decode
09:33:26:  K64_0000_20210303090837(1).log - DRB.tat* - TextAnalysisTool.NET
09:36:46:  回收 
09:36:51:  K64_0000_20210303090837
09:36:56:  Decode
09:37:01:  K64_0000_20210303090837(2).log - DRB.tat* - TextAnalysisTool.NET
09:37:06:  Decode
09:37:56:  TCR调测工具 V3.36
09:38:01:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
09:38:26:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
09:38:51:  D:\00-06\DRB\Applications\PaperManage\PaperManage.c (DRB) - Sublime Text (UNREGISTERED)
09:38:56:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
09:39:01:  TCR调测工具 V3.36
09:39:06:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:39:26:  BTCRTestTool V3.36
09:39:31:  20210303
09:39:36:  Decode
09:39:41:  Box_4__0000_20210303093755.log - DRB.tat* - TextAnalysisTool.NET
